timestamp_local,elapsed_seconds,hr_bpm
2026-07-16 21:54:16.444,0.799944,112
2026-07-16 21:54:17.433,1.789092,112
2026-07-16 21:54:18.420,2.776008,112
2026-07-16 21:54:19.414,3.770065,113
2026-07-16 21:54:20.400,4.755768,113
2026-07-16 21:54:21.391,5.747213,112
2026-07-16 21:54:22.384,6.740172,108
2026-07-16 21:54:23.374,7.729932,106
2026-07-16 21:54:24.364,8.720427,102
2026-07-16 21:54:25.355,9.710962,100
2026-07-16 21:54:26.344,10.699913,98
2026-07-16 21:54:27.335,11.690597,98
2026-07-16 21:54:28.324,12.680294,100
2026-07-16 21:54:29.809,14.165300,102
2026-07-16 21:54:30.796,15.152091,103
2026-07-16 21:54:31.789,16.145507,104
2026-07-16 21:54:32.779,17.134659,104
2026-07-16 21:54:33.766,18.122028,102
2026-07-16 21:54:34.759,19.115442,100
2026-07-16 21:54:35.750,20.105591,97
2026-07-16 21:54:36.736,21.092153,96
2026-07-16 21:54:37.726,22.081742,95
2026-07-16 21:54:38.719,23.074768,95
2026-07-16 21:54:39.705,24.061477,95
2026-07-16 21:54:40.700,25.055624,97
2026-07-16 21:54:41.689,26.044819,97
2026-07-16 21:54:42.676,27.032381,98
2026-07-16 21:54:43.669,28.024602,98
2026-07-16 21:54:44.659,29.015010,97
2026-07-16 21:54:45.647,30.002827,96
2026-07-16 21:54:46.639,30.994892,96
2026-07-16 21:54:47.628,31.984431,96
2026-07-16 21:54:48.616,32.972312,97
2026-07-16 21:54:49.610,33.965652,98
2026-07-16 21:54:50.599,34.955389,99
2026-07-16 21:54:51.586,35.942426,100
2026-07-16 21:54:52.580,36.935705,99
2026-07-16 21:54:53.567,37.922921,99
2026-07-16 21:54:54.556,38.912529,98
2026-07-16 21:54:55.548,39.904021,97
2026-07-16 21:54:56.540,40.895757,96
2026-07-16 21:54:57.526,41.881679,96
2026-07-16 21:54:58.519,42.874673,96
2026-07-16 21:54:59.510,43.865871,97
2026-07-16 21:55:00.499,44.855472,98
2026-07-16 21:55:01.490,45.845730,99
2026-07-16 21:55:02.479,46.834950,99
2026-07-16 21:55:03.469,47.824739,99
2026-07-16 21:55:04.460,48.815809,98
2026-07-16 21:55:06.436,50.792062,97
2026-07-16 21:55:06.437,50.793327,97
2026-07-16 21:55:07.426,51.781749,97
2026-07-16 21:55:08.419,52.774969,97
2026-07-16 21:55:09.409,53.765113,97
2026-07-16 21:55:10.395,54.751036,97
2026-07-16 21:55:11.390,55.745750,96
2026-07-16 21:55:12.379,56.734900,96
2026-07-16 21:55:13.369,57.725494,97
2026-07-16 21:55:14.360,58.715804,98
2026-07-16 21:55:15.350,59.705567,99
2026-07-16 21:55:16.340,60.695587,100
2026-07-16 21:55:17.329,61.685456,101
2026-07-16 21:55:18.316,62.671883,101
2026-07-16 21:55:19.804,64.160202,101
2026-07-16 21:55:20.791,65.147036,101
2026-07-16 21:55:21.784,66.140505,100
2026-07-16 21:55:22.774,67.130279,100
