timestamp_local,elapsed_seconds,hr_bpm
2026-07-16 21:34:41.796,0.806424,105
2026-07-16 21:34:42.783,1.793637,106
2026-07-16 21:34:43.777,2.786756,106
2026-07-16 21:34:44.767,3.777130,108
2026-07-16 21:34:45.757,4.766704,108
2026-07-16 21:34:46.747,5.756866,110
2026-07-16 21:34:47.733,6.743595,111
2026-07-16 21:34:48.727,7.737465,112
2026-07-16 21:34:49.717,8.726869,111
2026-07-16 21:34:50.707,9.717136,109
2026-07-16 21:34:51.697,10.707365,107
2026-07-16 21:34:52.684,11.694327,103
2026-07-16 21:34:53.677,12.687249,99
2026-07-16 21:34:54.667,13.677413,97
2026-07-16 21:34:55.657,14.667417,96
2026-07-16 21:34:56.646,15.656167,96
2026-07-16 21:34:57.636,16.646448,96
2026-07-16 21:34:58.627,17.636690,96
2026-07-16 21:34:59.616,18.626122,96
2026-07-16 21:35:00.603,19.613631,97
2026-07-16 21:35:01.597,20.607510,98
2026-07-16 21:35:02.586,21.595705,98
2026-07-16 21:35:03.576,22.586560,98
2026-07-16 21:35:04.567,23.577509,97
2026-07-16 21:35:05.556,24.565955,96
2026-07-16 21:35:06.546,25.556609,96
2026-07-16 21:35:07.537,26.547047,95
2026-07-16 21:35:08.526,27.536175,95
2026-07-16 21:35:09.512,28.522613,95
2026-07-16 21:35:10.507,29.516798,95
2026-07-16 21:35:12.982,31.992533,96
2026-07-16 21:35:12.984,31.993842,96
2026-07-16 21:35:13.477,32.487545,97
2026-07-16 21:35:14.464,33.474487,97
2026-07-16 21:35:15.457,34.467627,98
2026-07-16 21:35:16.447,35.457061,98
2026-07-16 21:35:17.436,36.445679,99
2026-07-16 21:35:18.427,37.437021,99
2026-07-16 21:35:19.417,38.427320,98
2026-07-16 21:35:20.405,39.414962,98
2026-07-16 21:35:21.398,40.407918,96
2026-07-16 21:35:22.386,41.396578,96
2026-07-16 21:35:23.375,42.385001,95
2026-07-16 21:35:24.367,43.377097,95
2026-07-16 21:35:25.357,44.367338,96
2026-07-16 21:35:26.343,45.353582,96
2026-07-16 21:35:27.337,46.347556,98
2026-07-16 21:35:28.324,47.334344,99
2026-07-16 21:35:29.812,48.822556,100
2026-07-16 21:35:30.801,49.811620,100
2026-07-16 21:35:31.794,50.803688,99
2026-07-16 21:35:32.782,51.792138,99
2026-07-16 21:35:33.772,52.782366,97
2026-07-16 21:35:34.760,53.769993,95
2026-07-16 21:35:35.753,54.762812,94
2026-07-16 21:35:36.742,55.751766,94
2026-07-16 21:35:37.733,56.742837,93
2026-07-16 21:35:38.723,57.732962,94
2026-07-16 21:35:39.712,58.722304,94
2026-07-16 21:35:40.703,59.712892,95
2026-07-16 21:35:41.692,60.702515,98
2026-07-16 21:35:42.683,61.692798,100
2026-07-16 21:35:43.669,62.679573,101
2026-07-16 21:35:44.662,63.672233,101
2026-07-16 21:35:45.653,64.662917,100
2026-07-16 21:35:46.642,65.652555,98
2026-07-16 21:35:47.632,66.642617,96
2026-07-16 21:35:48.620,67.629738,94
2026-07-16 21:35:49.609,68.619212,93
2026-07-16 21:35:50.600,69.609908,92
2026-07-16 21:35:51.592,70.602280,92
2026-07-16 21:35:52.583,71.592870,93
2026-07-16 21:35:53.571,72.581358,95
2026-07-16 21:35:54.562,73.572598,97
2026-07-16 21:35:55.553,74.563228,98
2026-07-16 21:35:56.539,75.549288,99
2026-07-16 21:35:57.532,76.542131,99
2026-07-16 21:35:58.522,77.532395,99
2026-07-16 21:35:59.513,78.522773,98
2026-07-16 21:36:00.994,80.004454,97
2026-07-16 21:36:01.493,80.503369,96
2026-07-16 21:36:02.483,81.492820,95
2026-07-16 21:36:03.472,82.482376,95
2026-07-16 21:36:04.460,83.469863,96
2026-07-16 21:36:05.453,84.463274,97
2026-07-16 21:36:07.433,86.443185,98
2026-07-16 21:36:07.434,86.444539,101
2026-07-16 21:36:08.423,87.433083,102
2026-07-16 21:36:09.413,88.422754,101
2026-07-16 21:36:10.403,89.413214,99
2026-07-16 21:36:11.393,90.403212,96
2026-07-16 21:36:12.383,91.392786,95
2026-07-16 21:36:13.373,92.383302,92
2026-07-16 21:36:14.363,93.373178,91
2026-07-16 21:36:15.353,94.363099,90
2026-07-16 21:36:16.343,95.353222,89
2026-07-16 21:36:17.827,96.837581,89
2026-07-16 21:36:18.323,97.332683,89
2026-07-16 21:36:19.808,98.817723,90
2026-07-16 21:36:20.798,99.808016,92
2026-07-16 21:36:21.788,100.798471,93
2026-07-16 21:36:22.775,101.784682,94
2026-07-16 21:36:23.764,102.774497,95
2026-07-16 21:36:24.757,103.767656,95
2026-07-16 21:36:26.243,105.253312,96
2026-07-16 21:36:26.737,105.747199,96
2026-07-16 21:36:27.727,106.737229,96
2026-07-16 21:36:28.714,107.724561,96
2026-07-16 21:36:29.707,108.717322,96
2026-07-16 21:36:30.698,109.708172,97
2026-07-16 21:36:31.684,110.694489,97
2026-07-16 21:36:32.678,111.688187,98
2026-07-16 21:36:33.668,112.677890,99
2026-07-16 21:36:34.658,113.667838,99
2026-07-16 21:36:35.644,114.654240,99
2026-07-16 21:36:36.634,115.644449,99
2026-07-16 21:36:37.627,116.637489,99
2026-07-16 21:36:38.617,117.627664,99
2026-07-16 21:36:39.608,118.617676,99
2026-07-16 21:36:40.598,119.608574,100
2026-07-16 21:36:41.588,120.597733,100
2026-07-16 21:36:42.578,121.588167,101
2026-07-16 21:36:43.567,122.577142,101
2026-07-16 21:36:44.557,123.567546,101
2026-07-16 21:36:45.548,124.557723,101
2026-07-16 21:36:46.535,125.545096,100
2026-07-16 21:36:47.528,126.538623,99
2026-07-16 21:36:48.518,127.528034,99
2026-07-16 21:36:49.504,128.513970,99
2026-07-16 21:36:50.498,129.508001,99
2026-07-16 21:36:51.487,130.497551,99
2026-07-16 21:36:52.478,131.487996,99
2026-07-16 21:36:53.468,132.477835,99
2026-07-16 21:36:54.458,133.467824,99
2026-07-16 21:36:55.447,134.457433,99
2026-07-16 21:36:56.438,135.448038,98
2026-07-16 21:36:57.429,136.438769,99
2026-07-16 21:36:58.414,137.424564,99
2026-07-16 21:37:00.398,139.408630,100
2026-07-16 21:37:00.400,139.409826,100
2026-07-16 21:37:01.388,140.397678,100
2026-07-16 21:37:02.378,141.387690,100
2026-07-16 21:37:03.367,142.377666,100
2026-07-16 21:37:04.358,143.367719,100
2026-07-16 21:37:05.348,144.358443,99
2026-07-16 21:37:06.338,145.348063,99
2026-07-16 21:37:07.327,146.337553,99
2026-07-16 21:37:08.318,147.328578,98
2026-07-16 21:37:09.804,148.813764,100
2026-07-16 21:37:10.792,149.802554,100
2026-07-16 21:37:11.784,150.793746,102
2026-07-16 21:37:12.770,151.780462,103
2026-07-16 21:37:13.762,152.772202,103
2026-07-16 21:37:14.753,153.763126,103
2026-07-16 21:37:15.743,154.753320,103
2026-07-16 21:37:16.734,155.743683,102
2026-07-16 21:37:17.723,156.733101,102
2026-07-16 21:37:18.713,157.722875,102
2026-07-16 21:37:19.703,158.713405,101
2026-07-16 21:37:20.693,159.702741,101
2026-07-16 21:37:21.683,160.692941,101
2026-07-16 21:37:22.673,161.683007,101
2026-07-16 21:37:23.660,162.670157,102
2026-07-16 21:37:24.654,163.663706,101
2026-07-16 21:37:25.643,164.652875,101
2026-07-16 21:37:26.633,165.643281,101
2026-07-16 21:37:27.620,166.630551,100
2026-07-16 21:37:28.612,167.622375,100
2026-07-16 21:37:29.603,168.613222,100
2026-07-16 21:37:30.594,169.603863,99
2026-07-16 21:37:31.582,170.592112,99
2026-07-16 21:37:32.573,171.583124,99
2026-07-16 21:37:34.055,173.064725,99
2026-07-16 21:37:34.550,173.559685,99
2026-07-16 21:37:35.544,174.554075,100
2026-07-16 21:37:36.533,175.543662,99
2026-07-16 21:37:37.520,176.529910,99
2026-07-16 21:37:38.513,177.523612,99
2026-07-16 21:37:39.504,178.513719,98
2026-07-16 21:37:41.483,180.493262,98
2026-07-16 21:37:41.485,180.494794,98
2026-07-16 21:37:42.471,181.480819,97
2026-07-16 21:37:43.461,182.471226,95
2026-07-16 21:37:44.454,183.463830,94
2026-07-16 21:37:45.444,184.453901,93
2026-07-16 21:37:46.431,185.440755,93
2026-07-16 21:37:47.423,186.433117,93
2026-07-16 21:37:48.413,187.423205,93
2026-07-16 21:37:49.401,188.410764,94
2026-07-16 21:37:50.393,189.403572,94
2026-07-16 21:37:51.384,190.393994,95
2026-07-16 21:37:52.371,191.381175,96
2026-07-16 21:37:53.363,192.373033,96
2026-07-16 21:37:54.354,193.363990,98
2026-07-16 21:37:55.340,194.349856,98
2026-07-16 21:37:56.333,195.343200,98
2026-07-16 21:37:57.324,196.334090,99
2026-07-16 21:37:58.808,197.818617,99
2026-07-16 21:37:59.799,198.809332,98
2026-07-16 21:38:00.788,199.798175,98
2026-07-16 21:38:01.779,200.789383,97
2026-07-16 21:38:02.769,201.779300,96
2026-07-16 21:38:03.759,202.768751,96
2026-07-16 21:38:04.749,203.759511,95
2026-07-16 21:38:05.735,204.745528,95
2026-07-16 21:38:06.728,205.738136,95
2026-07-16 21:38:07.718,206.728294,95
2026-07-16 21:38:08.709,207.718731,95
2026-07-16 21:38:09.699,208.708713,95
2026-07-16 21:38:10.688,209.698242,95
2026-07-16 21:38:11.679,210.689144,96
2026-07-16 21:38:12.669,211.679523,97
2026-07-16 21:38:13.656,212.665737,98
2026-07-16 21:38:14.649,213.658942,99
2026-07-16 21:38:15.639,214.649624,100
2026-07-16 21:38:16.628,215.638497,100
2026-07-16 21:38:17.619,216.629283,99
