Time(s),Seq,MissingBefore,Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.0,49080,0,856.32324,944.36646,1654.05273,1821.36536,-0.03992,-0.02002,0.99918,-0.053,0.385,-1.313,7082,58459,83320
0.01,49081,0,856.32324,944.36646,1653.36609,1821.44165,-0.03809,-0.0144,0.99515,0.14,0.455,-1.383,7082,58459,83320
0.02,49082,0,856.32324,944.36646,1653.74756,1821.44165,-0.03882,-0.00989,0.99368,-0.07,0.613,-1.208,7086,58462,83317
0.03,49083,0,856.32324,944.36646,1653.74756,1821.36536,-0.04065,-0.00793,0.99283,-0.613,0.63,-1.208,7086,58462,83317
0.04,49084,0,856.32324,944.36646,1653.82385,1821.28906,-0.04346,-0.00732,0.996,-1.033,0.77,-0.648,7088,58459,83318
0.05,49085,0,856.32324,944.36646,1653.90015,1821.36536,-0.04492,-0.00708,0.99686,-2.188,0.805,-0.35,7091,58463,83319
0.06,49086,0,856.32324,944.36646,1653.59497,1821.51794,-0.04297,-0.00916,0.99527,-2.695,0.77,-0.228,7091,58463,83319
0.07,49087,0,856.32324,944.36646,1653.90015,1821.21277,-0.04541,-0.01257,0.99612,-3.36,0.753,0.193,7091,58463,83319
0.08,49088,0,856.32324,944.36646,1653.82385,1821.51794,-0.04517,-0.021,0.99747,-3.973,0.63,0.123,7096,58463,83322
0.09,49089,0,856.32324,944.36646,1653.97644,1821.67053,-0.04273,-0.02686,0.99625,-4.043,0.613,0.21,7096,58463,83322
0.1,49090,0,856.17065,944.36646,1653.82385,1821.51794,-0.04224,-0.02966,0.99966,-3.238,0.613,-0.123,7097,58464,83330
0.11,49091,0,856.17065,944.36646,1653.74756,1821.44165,-0.04236,-0.02686,1.00089,-2.853,0.613,-0.035,7097,58464,83330
0.12,49092,0,856.17065,944.36646,1653.97644,1821.59424,-0.04041,-0.02417,1.00015,-2.503,0.56,0.175,7103,58466,83335
0.13,49093,0,856.17065,944.36646,1653.90015,1821.28906,-0.03845,-0.02246,1.00089,-2.258,0.595,0.245,7103,58466,83335
0.14,49094,0,856.17065,944.36646,1653.90015,1821.28906,-0.0354,-0.01904,0.99881,-2.083,0.455,0.28,7106,58468,83339
0.15,49095,0,856.17065,944.44275,1654.28162,1821.36536,-0.03406,-0.0155,0.99869,-2.083,0.648,0.193,7108,58469,83341
0.16,49096,0,856.17065,944.44275,1653.67126,1821.28906,-0.03491,-0.01636,0.99649,-2.485,0.875,0.0,7108,58469,83341
0.17,49097,0,856.17065,944.44275,1653.90015,1821.21277,-0.03955,-0.01685,0.9982,-3.063,0.98,-0.14,7108,58469,83341
0.18,49098,0,856.17065,944.44275,1653.90015,1821.44165,-0.04138,-0.02063,0.99991,-3.36,0.893,-0.018,7114,58469,83343
0.19,49099,0,856.17065,944.44275,1653.74756,1821.44165,-0.04321,-0.02295,1.00076,-3.343,0.84,0.298,7114,58469,83343
0.2,49100,0,856.17065,944.44275,1653.82385,1821.21277,-0.04468,-0.02393,1.00003,-3.343,0.683,0.298,7116,58472,83346
0.21,49101,0,856.17065,944.44275,1653.67126,1822.1283,-0.04468,-0.02393,0.99649,-2.835,0.805,0.298,7116,58472,83346
0.22,49102,0,856.17065,944.44275,1653.82385,1821.28906,-0.04932,-0.01379,0.99271,-1.628,0.963,0.56,7120,58476,83349
0.23,49103,0,856.17065,944.44275,1653.74756,1821.44165,-0.04785,-0.00391,0.99197,-1.173,0.893,0.805,7120,58476,83349
0.24,49104,0,856.17065,944.44275,1653.90015,1821.67053,-0.04419,0.00183,0.99271,-1.575,0.595,0.823,7124,58474,83351
0.25,49105,0,856.17065,944.36646,1653.90015,1821.28906,-0.03882,0.00354,0.99503,-2.608,0.228,1.085,7124,58474,83351
0.26,49106,0,856.17065,944.36646,1653.67126,1821.36536,-0.03296,-0.00171,0.9921,-4.165,0.28,1.558,7130,58469,83343
0.27,49107,0,856.17065,944.36646,1653.82385,1821.74683,-0.02722,-0.021,0.9949,-6.493,0.98,1.698,7130,58469,83343
0.28,49108,0,856.17065,944.36646,1653.74756,1821.36536,-0.02686,-0.02625,1.00089,-6.178,1.33,1.855,7134,58476,83360
0.29,49109,0,856.17065,944.36646,1653.74756,1821.51794,-0.02747,-0.02515,1.00357,-5.285,1.855,1.838,7134,58476,83360
0.3,49110,0,856.17065,944.36646,1654.28162,1821.36536,-0.02893,-0.02026,1.00284,-4.428,2.118,1.61,7134,58480,83372
0.31,49111,0,856.17065,944.36646,1653.59497,1821.44165,-0.03113,-0.01514,1.00015,-3.938,2.188,1.243,7134,58480,83372
0.32,49112,0,856.17065,944.36646,1653.74756,1821.28906,-0.03711,-0.02161,0.99979,-5.268,2.083,1.26,7136,58483,83365
0.33,49113,0,856.17065,944.36646,1653.82385,1821.28906,-0.03748,-0.02966,0.99747,-6.02,2.03,1.488,7136,58483,83365
0.34,49114,0,856.17065,944.36646,1653.74756,1821.28906,-0.03955,-0.03394,0.99722,-6.265,2.118,1.313,7133,58480,83363
0.35,49115,0,856.17065,944.29016,1653.74756,1821.97571,-0.04041,-0.03821,0.99844,-5.6,2.153,0.98,7133,58480,83363
0.36,49116,0,856.17065,944.29016,1653.74756,1821.21277,-0.04627,-0.04016,0.99771,-5.005,2.415,0.385,7131,58480,83364
0.37,49117,0,856.17065,944.29016,1653.82385,1821.36536,-0.05676,-0.0354,0.99881,-4.06,2.59,0.0,7131,58480,83364
0.38,49118,0,856.17065,944.29016,1653.82385,1821.97571,-0.0586,-0.0332,1.00089,-3.885,2.258,-0.298,7129,58484,83360
0.39,49119,0,856.17065,944.29016,1653.90015,1821.44165,-0.06238,-0.0354,1.00247,-4.41,1.908,-0.613,7129,58484,83360
0.4,49120,0,856.24695,944.29016,1653.67126,1821.21277,-0.06128,-0.03845,1.00113,-4.655,1.575,-0.788,7125,58481,83356
0.41,49121,0,856.24695,944.29016,1653.67126,1820.98389,-0.0575,-0.04199,0.99905,-4.253,1.033,-0.753,7125,58481,83356
0.42,49122,0,856.24695,944.29016,1653.90015,1821.97571,-0.05103,-0.04236,1.00015,-3.605,0.665,-1.418,7119,58481,83355
0.43,49123,0,856.24695,944.29016,1653.90015,1821.21277,-0.05225,-0.03931,1.00418,-2.363,0.665,-2.135,7119,58481,83355
0.44,49124,0,856.24695,944.29016,1653.90015,1821.28906,-0.05127,-0.03748,1.00052,-1.855,0.648,-2.503,7116,58482,83353
0.45,49125,0,856.24695,944.36646,1654.28162,1821.13647,-0.05139,-0.03491,0.99832,-1.768,0.473,-2.643,7116,58482,83353
0.46,49126,0,856.24695,944.36646,1653.67126,1821.28906,-0.04798,-0.03101,0.99649,-1.593,0.175,-2.94,7112,58484,83345
0.47,49127,0,856.24695,944.36646,1653.82385,1821.21277,-0.04468,-0.02747,0.99698,-1.243,0.07,-2.94,7112,58484,83345
0.48,49128,0,856.24695,944.36646,1653.90015,1821.51794,-0.03955,-0.01978,0.9971,-1.575,0.333,-3.395,7106,58477,83337
0.49,49129,0,856.24695,944.36646,1653.82385,1821.36536,-0.03955,-0.01599,0.99759,-1.855,0.595,-3.238,7106,58477,83337
0.5,49130,0,856.39954,944.36646,1653.82385,1821.36536,-0.03882,-0.01697,0.99759,-2.275,0.683,-3.045,7101,58479,83332
0.51,49131,0,856.39954,944.36646,1653.67126,1821.36536,-0.03821,-0.01856,0.99832,-2.765,0.77,-2.888,7101,58479,83332
0.52,49132,0,856.39954,944.36646,1653.74756,1821.13647,-0.03552,-0.021,0.99783,-3.15,0.63,-2.783,7098,58477,83329
0.53,49133,0,856.39954,944.36646,1653.82385,1821.59424,-0.03699,-0.02478,0.99832,-3.325,0.805,-2.433,7098,58477,83329
0.54,49134,0,856.39954,944.36646,1653.67126,1821.51794,-0.03797,-0.02393,0.99942,-3.01,0.945,-2.293,7094,58471,83318
0.55,49135,0,856.39954,945.20569,1653.90015,1821.44165,-0.0387,-0.02124,1.00015,-2.853,1.015,-2.153,7094,58471,83318
0.56,49136,0,856.39954,945.20569,1653.67126,1821.28906,-0.03894,-0.01929,0.99796,-2.923,1.085,-1.803,7090,58470,83319
0.57,49137,0,856.39954,945.20569,1653.74756,1821.59424,-0.04175,-0.02014,0.99686,-3.08,1.05,-1.663,7090,58470,83319
0.58,49138,0,856.39954,945.20569,1653.74756,1821.28906,-0.0481,-0.02271,0.99893,-3.168,1.103,-1.208,7088,58470,83323
0.59,49139,0,856.39954,945.20569,1653.82385,1821.21277,-0.04993,-0.02344,0.99918,-3.168,0.998,-1.068,7088,58470,83323
0.6,49140,0,856.24695,945.20569,1654.05273,1821.36536,-0.05066,-0.02515,0.99734,-3.01,0.998,-0.77,7087,58472,83322
0.61,49141,0,856.24695,945.20569,1653.59497,1821.36536,-0.04859,-0.0282,0.99442,-3.15,0.945,-0.823,7087,58472,83322
0.62,49142,0,856.24695,945.20569,1653.90015,1821.28906,-0.04614,-0.02832,0.99319,-3.448,0.77,-0.7,7085,58472,83318
0.63,49143,0,856.24695,945.20569,1654.05273,1821.28906,-0.04077,-0.02881,0.99857,-3.273,0.613,-0.438,7085,58472,83318
0.64,49144,0,856.24695,945.20569,1653.90015,1821.28906,-0.03931,-0.0249,1.00198,-3.22,0.893,-0.648,7082,58468,83319
0.65,49145,0,856.24695,944.29016,1653.90015,1821.36536,-0.04065,-0.02527,0.99991,-3.168,1.085,-0.735,7082,58468,83319
0.66,49146,0,856.24695,944.29016,1653.90015,1821.36536,-0.04321,-0.02612,0.99966,-3.255,1.155,-0.543,7083,58470,83321
0.67,49147,0,856.24695,944.29016,1653.90015,1821.44165,-0.04468,-0.02649,0.99881,-3.43,1.103,-0.28,7083,58470,83321
0.68,49148,0,856.24695,944.29016,1653.97644,1821.28906,-0.04187,-0.02612,0.99722,-3.378,0.928,-0.175,7083,58476,83318
0.69,49149,0,856.24695,944.29016,1654.05273,1821.44165,-0.04346,-0.02979,1.00003,-3.693,1.033,-0.368,7083,58476,83318
0.7,49150,0,856.17065,944.29016,1653.97644,1821.28906,-0.04578,-0.03015,1.0004,-3.57,1.138,-0.438,7086,58475,83322
0.71,49151,0,856.17065,944.29016,1653.82385,1821.36536,-0.04761,-0.0315,1.00015,-3.413,1.173,-0.56,7086,58475,83322
0.72,49152,0,856.17065,944.29016,1654.05273,1821.74683,-0.04761,-0.03296,0.99844,-3.22,1.068,-0.438,7085,58473,83320
0.73,49153,0,856.17065,944.29016,1653.97644,1821.21277,-0.04956,-0.03137,1.00223,-3.028,0.98,-0.385,7085,58473,83320
0.74,49154,0,856.17065,944.29016,1654.12903,1821.74683,-0.05127,-0.03162,0.99954,-2.748,0.858,-0.333,7085,58470,83321
0.75,49155,0,856.17065,944.44275,1654.35791,1821.44165,-0.04785,-0.03235,0.99661,-2.38,0.735,-0.21,7085,58470,83321
0.76,49156,0,856.17065,944.44275,1653.90015,1821.44165,-0.04773,-0.03101,0.99893,-2.363,0.648,-0.263,7085,58469,83317
0.77,49157,0,856.17065,944.44275,1653.82385,1821.51794,-0.04614,-0.02966,0.99783,-2.188,0.578,-0.438,7085,58469,83317
0.78,49158,0,856.17065,944.44275,1653.97644,1821.59424,-0.04675,-0.02783,0.99857,-2.048,0.49,-0.438,7088,58468,83317
0.79,49159,0,856.17065,944.44275,1653.82385,1821.44165,-0.04456,-0.02612,0.99832,-1.873,0.473,-0.333,7088,58468,83317
0.8,49160,0,856.24695,944.44275,1653.90015,1821.06018,-0.04041,-0.02686,0.99527,-2.013,0.455,-0.455,7091,58468,83324
0.81,49161,0,856.24695,944.44275,1653.74756,1821.44165,-0.04004,-0.02795,0.99686,-2.31,0.525,-0.333,7091,58468,83324
0.82,49162,0,856.24695,944.44275,1653.90015,1821.28906,-0.03882,-0.02747,0.99881,-2.485,0.508,-0.35,7090,58470,83320
0.83,49163,0,856.24695,944.44275,1653.90015,1821.36536,-0.03955,-0.02795,0.99905,-2.468,0.578,-0.28,7090,58470,83320
0.84,49164,0,856.24695,944.44275,1653.97644,1821.28906,-0.04028,-0.02771,0.99857,-2.24,0.805,-0.543,7092,58473,83329
0.85,49165,0,856.24695,944.29016,1653.97644,1821.13647,-0.0426,-0.02612,0.99991,-2.153,0.805,-0.473,7092,58473,83329
0.86,49166,0,856.24695,944.29016,1653.90015,1821.21277,-0.04468,-0.026,0.9993,-2.17,0.875,-0.42,7093,58470,83330
0.87,49167,0,856.24695,944.29016,1653.90015,1821.36536,-0.0437,-0.026,0.99734,-2.153,0.91,-0.385,7093,58470,83330
0.88,49168,0,856.24695,944.29016,1653.82385,1821.28906,-0.04382,-0.0282,0.99722,-2.328,0.84,-0.333,7095,58473,83332
0.89,49169,0,856.24695,944.29016,1653.90015,1821.21277,-0.04602,-0.0282,0.99979,-2.52,0.823,-0.315,7095,58473,83332
0.9,49170,0,856.24695,944.29016,1653.97644,1821.21277,-0.047,-0.0293,0.99979,-2.433,0.823,-0.42,7096,58472,83328
0.91,49171,0,856.24695,944.29016,1653.59497,1821.13647,-0.047,-0.03015,0.99918,-2.31,0.648,-0.455,7096,58472,83328
0.92,49172,0,856.24695,944.29016,1653.90015,1821.28906,-0.047,-0.02869,0.99954,-2.205,0.683,-0.49,7098,58468,83326
0.93,49173,0,856.24695,944.29016,1653.97644,1821.13647,-0.04566,-0.03076,0.99771,-1.943,0.735,-0.56,7098,58468,83326
0.94,49174,0,856.24695,944.29016,1654.05273,1821.21277,-0.04712,-0.02918,0.99991,-1.995,0.718,-0.753,7100,58470,83329
0.95,49175,0,856.24695,944.29016,1653.82385,1821.36536,-0.04529,-0.03174,0.99686,-1.855,0.543,-0.788,7100,58470,83329
0.96,49176,0,856.24695,944.29016,1653.97644,1821.36536,-0.0448,-0.03174,0.99759,-1.715,0.525,-0.893,7103,58472,83335
0.97,49177,0,856.24695,944.29016,1653.97644,1821.36536,-0.04578,-0.02991,0.99808,-1.523,0.543,-0.875,7103,58472,83335
