Time(s),SampleIndex,Seq,ValidFlag,InterpFlag,GapLen,MissingBefore,Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.0,0,46188,1,0,0,0,839.84375,881.65283,1623.07739,1700.43945,-0.04273,-0.05713,0.99783,-1.715,0.543,-1.12,6560,72581,106708
0.01,1,46189,1,0,0,0,839.84375,881.65283,1622.54333,1699.98169,-0.04102,-0.05396,0.99808,-1.54,0.525,-1.085,6560,72581,106708
0.02,2,46190,1,0,0,0,839.99634,881.65283,1622.77222,1700.05798,-0.03504,-0.04627,0.99185,-1.715,0.665,-0.875,6564,72585,106709
0.03,3,46191,1,0,0,0,839.99634,881.65283,1623.15369,1699.98169,-0.03284,-0.04309,0.99332,-2.363,0.665,-0.805,6564,72585,106709
0.04,4,46192,1,0,0,0,839.99634,881.65283,1622.77222,1699.98169,-0.03003,-0.04187,0.99405,-2.73,0.63,-0.683,6568,72585,106708
0.05,5,46193,1,0,0,0,839.99634,881.65283,1622.61963,1700.05798,-0.02979,-0.04236,0.99893,-3.238,0.683,-0.595,6568,72585,106708
0.06,6,46194,1,0,0,0,839.99634,881.65283,1623.07739,1700.05798,-0.02808,-0.04285,1.00101,-3.658,0.823,-0.298,6566,72582,106716
0.07,7,46195,1,0,0,0,839.99634,881.72913,1622.77222,1700.36316,-0.02771,-0.04895,0.99991,-4.13,0.998,-0.053,6566,72582,106716
0.08,8,46196,1,0,0,0,839.99634,881.72913,1622.69592,1699.98169,-0.03162,-0.05103,1.00003,-4.568,1.19,-0.315,6567,72587,106721
0.09,9,46197,1,0,0,0,839.99634,881.72913,1623.22998,1700.21057,-0.03272,-0.05322,0.99747,-4.795,1.12,-0.07,6567,72587,106721
0.1,10,46198,1,0,0,0,839.99634,881.72913,1622.16187,1700.13428,-0.03638,-0.05579,0.99625,-4.848,0.998,0.0,6572,72591,106722
0.11,11,46199,1,0,0,0,839.99634,881.72913,1622.61963,1699.98169,-0.03919,-0.05603,0.99966,-4.76,1.068,0.07,6572,72591,106722
0.12,12,46200,1,0,0,0,840.07263,881.72913,1622.9248,1699.9054,-0.04138,-0.05445,0.99844,-4.288,1.05,0.14,6574,72593,106727
0.13,13,46201,1,0,0,0,840.07263,881.72913,1622.61963,1699.98169,-0.04187,-0.05335,0.99808,-4.34,1.068,0.088,6574,72593,106727
0.14,14,46202,1,0,0,0,840.07263,881.72913,1622.77222,1699.98169,-0.04358,-0.05176,0.99954,-4.55,0.928,0.35,6575,72592,106732
0.15,15,46203,1,0,0,0,840.07263,881.72913,1623.76404,1699.98169,-0.04334,-0.05567,0.99588,-4.69,0.98,0.385,6575,72592,106732
0.16,16,46204,1,0,0,0,840.07263,881.72913,1622.69592,1700.13428,-0.04431,-0.05872,0.99979,-4.76,0.858,0.175,6576,72594,106733
0.17,17,46205,1,0,0,0,840.07263,881.80542,1622.61963,1699.9054,-0.04199,-0.06433,0.99869,-4.498,0.963,0.193,6576,72594,106733
0.18,18,46206,1,0,0,0,840.07263,881.80542,1622.69592,1700.13428,-0.0398,-0.06714,0.99686,-4.147,0.788,0.053,6581,72595,106740
0.19,19,46207,1,0,0,0,840.07263,881.80542,1622.61963,1700.05798,-0.04016,-0.06677,0.99747,-4.008,0.928,0.018,6581,72595,106740
0.2,20,46208,1,0,0,0,840.07263,881.80542,1622.77222,1700.13428,-0.04089,-0.0669,0.9993,-3.833,0.893,0.035,6583,72595,106740
0.21,21,46209,1,0,0,0,840.07263,881.80542,1623.30627,1700.05798,-0.03967,-0.06494,0.99759,-3.553,0.665,-0.088,6583,72595,106740
0.22,22,46210,1,0,0,0,839.76746,881.80542,1622.23816,1700.05798,-0.04199,-0.06531,1.0015,-3.22,0.805,-0.385,6583,72594,106743
0.23,23,46211,1,0,0,0,839.76746,881.80542,1622.00928,1700.05798,-0.04102,-0.06409,1.00076,-3.185,0.753,-0.753,6583,72594,106743
0.24,24,46212,1,0,0,0,839.76746,881.80542,1622.31445,1700.05798,-0.04297,-0.06446,1.00003,-2.94,0.683,-0.718,6584,72595,106746
0.25,25,46213,1,0,0,0,839.76746,881.80542,1622.61963,1699.98169,-0.04407,-0.06604,0.99869,-2.643,0.665,-0.735,6584,72595,106746
0.26,26,46214,1,0,0,0,839.76746,881.80542,1622.69592,1699.9054,-0.04346,-0.06446,0.99429,-2.52,0.665,-0.788,6588,72594,106749
0.27,27,46215,1,0,0,0,839.76746,881.65283,1622.39075,1700.05798,-0.04102,-0.06299,0.99344,-2.45,0.595,-0.998,6588,72594,106749
0.28,28,46216,1,0,0,0,839.76746,881.65283,1622.54333,1699.8291,-0.04102,-0.06018,0.99393,-2.328,0.595,-0.945,6589,72592,106747
0.29,29,46217,1,0,0,0,839.76746,881.65283,1622.08557,1699.8291,-0.04126,-0.05908,0.99918,-2.415,0.683,-0.963,6589,72592,106747
0.3,30,46218,1,0,0,0,839.76746,881.65283,1622.54333,1699.98169,-0.04199,-0.05762,0.99991,-2.555,0.7,-0.928,6589,72593,106751
0.31,31,46219,1,0,0,0,839.76746,881.65283,1622.39075,1699.98169,-0.03943,-0.05896,0.99991,-2.538,0.648,-0.963,6589,72593,106751
0.32,32,46220,1,0,0,0,839.92004,881.65283,1622.61963,1700.13428,-0.03894,-0.05921,0.99881,-2.45,0.56,-0.91,6592,72596,106756
0.33,33,46221,1,0,0,0,839.92004,881.65283,1623.07739,1699.9054,-0.0387,-0.05921,0.99686,-2.45,0.683,-1.05,6592,72596,106756
0.34,34,46222,1,0,0,0,839.92004,881.65283,1622.77222,1699.9054,-0.03479,-0.05713,0.9938,-2.66,0.595,-0.735,6595,72595,106755
0.35,35,46223,1,0,0,0,839.92004,881.65283,1622.61963,1699.98169,-0.03613,-0.05506,0.99673,-2.713,0.718,-0.56,6595,72595,106755
0.36,36,46224,1,0,0,0,839.92004,881.65283,1623.22998,1700.05798,-0.03577,-0.05286,0.99698,-2.835,0.805,-0.49,6593,72594,106758
0.37,37,46225,1,0,0,0,839.92004,881.72913,1622.69592,1700.21057,-0.03626,-0.05298,0.99796,-2.905,0.7,-0.263,6593,72594,106758
0.38,38,46226,1,0,0,0,839.92004,881.72913,1622.54333,1700.13428,-0.03821,-0.05335,0.99979,-3.203,0.753,-0.14,6598,72595,106763
0.39,39,46227,1,0,0,0,839.92004,881.72913,1623.22998,1700.13428,-0.03833,-0.05689,1.00027,-3.238,0.7,0.0,6598,72595,106763
0.4,40,46228,1,0,0,0,839.92004,881.72913,1622.61963,1700.05798,-0.0365,-0.05884,0.99466,-3.22,0.665,0.245,6599,72598,106771
0.41,41,46229,1,0,0,0,839.92004,881.72913,1622.16187,1700.05798,-0.03516,-0.05835,0.9949,-3.115,0.648,0.438,6599,72598,106771
