Time(s),Seq,MissingBefore,Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.0,39650,0,866.08887,952.52991,1673.66028,1837.31079,-0.04993,-0.01013,0.99966,-3.553,0.91,-0.228,6067,54689,79514
0.01,39651,0,866.08887,952.52991,1673.3551,1837.46338,-0.05274,-0.01355,1.00198,-3.22,0.875,-0.035,6067,54689,79514
0.02,39652,0,866.08887,952.52991,1673.50769,1837.61597,-0.05469,-0.01465,0.99942,-2.503,0.665,0.193,6069,54688,79517
0.03,39653,0,866.08887,952.52991,1673.3551,1837.61597,-0.05567,-0.01257,0.99686,-1.715,0.578,0.158,6069,54688,79517
0.04,39654,0,866.08887,952.52991,1673.4314,1837.53967,-0.0553,-0.00146,0.99295,-0.875,0.385,0.158,6073,54693,79524
0.05,39655,0,866.08887,952.52991,1674.11804,1837.46338,-0.05567,0.0,0.99429,-1.05,0.14,0.403,6073,54693,79524
0.06,39656,0,866.08887,952.52991,1673.3551,1837.76855,-0.05335,-0.00085,0.99246,-1.365,0.123,0.368,6076,54695,79525
0.07,39657,0,866.08887,952.52991,1673.50769,1837.84485,-0.05176,-0.00269,0.99417,-1.768,0.245,0.49,6076,54695,79525
0.08,39658,0,866.08887,952.52991,1673.58398,1837.76855,-0.05005,-0.00525,0.99368,-2.205,0.403,0.35,6078,54696,79531
0.09,39659,0,866.08887,952.52991,1673.4314,1837.76855,-0.05066,-0.00806,0.99564,-2.468,0.595,0.35,6078,54696,79531
0.1,39660,0,866.08887,952.52991,1673.58398,1837.46338,-0.04785,-0.01038,1.00027,-2.45,0.665,0.35,6076,54697,79536
0.11,39661,0,866.08887,952.52991,1673.27881,1837.53967,-0.04688,-0.01013,1.00015,-2.223,0.683,0.21,6076,54697,79536
0.12,39662,0,866.08887,952.52991,1673.3551,1837.38708,-0.04627,-0.00793,1.00235,-2.013,0.718,0.053,6081,54699,79538
0.13,39663,0,866.08887,952.52991,1673.3551,1837.76855,-0.04627,-0.00867,0.9993,-1.715,0.683,-0.245,6081,54699,79538
0.14,39664,0,866.08887,952.52991,1673.50769,1837.69226,-0.04981,-0.00842,0.99759,-1.628,0.735,-0.385,6085,54699,79545
0.15,39665,0,866.08887,952.6062,1673.27881,1837.53967,-0.05713,-0.01257,0.99515,-2.52,0.875,-0.245,6085,54699,79545
0.16,39666,0,866.08887,952.6062,1673.3551,1837.38708,-0.05664,-0.01697,0.996,-2.678,0.823,-0.14,6084,54697,79547
0.17,39667,0,866.08887,952.6062,1673.66028,1837.38708,-0.05896,-0.02002,0.99759,-2.433,0.788,-0.088,6084,54697,79547
0.18,39668,0,866.08887,952.6062,1673.4314,1837.53967,-0.05921,-0.0155,0.99796,-1.645,0.735,0.07,6084,54697,79547
0.19,39669,0,866.08887,952.6062,1673.58398,1837.53967,-0.06018,-0.00623,0.99808,-0.648,0.56,-0.14,6090,54700,79551
0.2,39670,0,866.08887,952.6062,1673.58398,1837.69226,-0.05176,0.00769,0.99368,-0.193,0.105,0.018,6091,54699,79552
0.21,39671,0,866.08887,952.6062,1673.27881,1837.46338,-0.04822,0.00769,0.99539,-1.225,0.193,0.14,6091,54699,79552
0.22,39672,0,866.08887,952.6062,1673.50769,1837.61597,-0.04688,0.00183,0.99881,-2.17,0.315,0.245,6091,54699,79552
0.23,39673,0,866.08887,952.6062,1673.58398,1837.61597,-0.04871,-0.0061,1.00394,-2.713,0.543,0.42,6096,54698,79551
0.24,39674,0,866.08887,952.6062,1673.58398,1837.61597,-0.04932,-0.01404,1.00406,-2.555,0.718,0.263,6096,54698,79551
0.25,39675,0,866.08887,952.6825,1673.50769,1837.61597,-0.05518,-0.01709,0.99905,-0.805,0.333,0.193,6096,54699,79554
0.26,39676,0,866.08887,952.6825,1673.4314,1837.61597,-0.05579,-0.01477,0.99246,-0.105,0.175,0.105,6096,54699,79554
0.27,39677,0,866.08887,952.6825,1673.4314,1837.53967,-0.05493,-0.01062,0.98978,0.42,-0.018,0.245,6099,54696,79554
0.28,39678,0,866.08887,952.6825,1673.50769,1837.69226,-0.05335,-0.00525,0.9921,0.123,0.018,0.228,6099,54696,79554
0.29,39679,0,866.08887,952.6825,1673.4314,1837.61597,-0.05249,-0.00244,0.99625,-0.298,-0.018,0.315,6103,54702,79553
0.3,39680,0,865.93628,952.6825,1673.50769,1837.76855,-0.05005,-0.00208,0.99991,-0.683,0.123,0.245,6104,54702,79553
0.31,39681,0,865.93628,952.6825,1673.20251,1837.76855,-0.047,-0.00134,0.99527,-0.508,-0.018,0.175,6104,54702,79553
0.32,39682,0,865.93628,952.6825,1673.50769,1837.84485,-0.04321,0.00049,0.99051,-0.263,0.088,-0.228,6104,54702,79553
0.33,39683,0,865.93628,952.6825,1673.27881,1837.69226,-0.04114,0.00513,0.99136,-0.315,0.298,-0.508,6107,54700,79553
0.34,39684,0,865.93628,952.6825,1673.3551,1837.61597,-0.03931,0.0072,0.99393,-0.945,0.595,-0.403,6107,54700,79553
0.35,39685,0,865.93628,952.6825,1673.66028,1837.61597,-0.04102,0.00171,0.99625,-3.168,1.155,-0.35,6109,54698,79553
0.36,39686,0,865.93628,952.6825,1673.20251,1837.61597,-0.04114,-0.00305,0.99722,-3.675,1.295,-0.07,6109,54698,79553
0.37,39687,0,865.93628,952.6825,1673.50769,1837.69226,-0.04468,-0.00671,0.99771,-3.238,1.54,-0.193,6111,54699,79554
0.38,39688,0,865.93628,952.6825,1673.66028,1837.76855,-0.04895,-0.00806,0.99991,-2.555,1.61,-0.455,6111,54699,79554
0.39,39689,0,865.93628,952.6825,1673.4314,1837.92114,-0.05591,-0.00818,0.99796,-2.608,1.96,-0.928,6114,54700,79551
0.4,39690,0,866.16516,952.6825,1673.66028,1837.84485,-0.06006,-0.0199,0.99612,-4.218,1.89,-1.733,6115,54697,79537
0.41,39691,0,866.16516,952.6825,1673.3551,1837.61597,-0.05933,-0.0282,0.99442,-4.323,1.435,-1.803,6115,54697,79537
0.42,39692,0,866.16516,952.6825,1673.66028,1837.61597,-0.05628,-0.02734,0.99966,-3.658,1.453,-1.645,6115,54697,79537
0.43,39693,0,866.16516,952.6825,1673.66028,1837.46338,-0.05286,-0.01965,0.99881,-2.223,1.4,-1.558,6114,54696,79519
0.44,39694,0,866.16516,952.6825,1673.66028,1837.53967,-0.0542,-0.00623,0.9993,-0.438,1.453,-1.645,6114,54696,79519
0.45,39695,0,866.16516,952.6062,1673.58398,1837.53967,-0.0531,0.01843,0.99857,0.595,1.103,-1.365,6106,54684,79499
0.46,39696,0,866.16516,952.6062,1673.50769,1837.46338,-0.05493,0.02124,0.99698,-0.455,1.05,-1.295,6106,54684,79499
0.47,39697,0,866.16516,952.6062,1673.73657,1837.53967,-0.05298,0.01685,0.99564,-1.838,0.998,-1.05,6104,54688,79485
0.48,39698,0,866.16516,952.6062,1673.58398,1837.38708,-0.05274,0.00537,0.99368,-3.168,0.963,-0.98,6104,54688,79485
0.49,39699,0,866.16516,952.6062,1673.66028,1837.46338,-0.05469,-0.00623,0.99905,-3.885,1.05,-0.91,6096,54682,79466
0.5,39700,0,866.24146,952.6062,1673.96545,1837.53967,-0.06555,-0.03613,1.00967,-2.765,1.05,-0.385,6090,54679,79455
0.51,39701,0,866.24146,952.6062,1673.3551,1837.46338,-0.068,-0.03308,1.00076,-1.733,0.91,0.123,6090,54679,79455
0.52,39702,0,866.24146,952.6062,1673.58398,1837.53967,-0.06177,-0.0238,0.99503,0.263,-0.018,0.403,6090,54679,79455
0.53,39703,0,866.24146,952.6062,1673.73657,1837.46338,-0.05152,-0.01172,0.99271,1.82,-0.735,0.28,6090,54673,79440
0.54,39704,0,866.24146,952.6062,1673.50769,1837.53967,-0.04614,0.00354,0.99319,2.205,-0.63,0.228,6090,54673,79440
0.55,39705,0,866.24146,952.52991,1673.73657,1837.31079,-0.05506,0.01343,0.99612,1.75,0.648,-0.98,6083,54669,79429
0.56,39706,0,866.24146,952.52991,1673.66028,1837.46338,-0.05506,0.01343,0.99612,0.298,0.648,-0.98,6083,54669,79429
0.57,39707,0,866.24146,952.52991,1673.58398,1837.53967,-0.05786,-0.00623,0.99844,-2.538,0.613,-1.05,6080,54669,79422
0.58,39708,0,866.24146,952.52991,1673.58398,1837.61597,-0.05481,-0.01489,0.99857,-2.818,0.455,-1.103,6080,54669,79422
0.59,39709,0,866.24146,952.52991,1673.66028,1837.69226,-0.05506,-0.01794,1.00089,-2.153,0.438,-1.243,6082,54667,79418
0.6,39710,0,866.08887,952.52991,1673.73657,1837.53967,-0.05603,-0.01856,1.00003,-0.91,0.403,-1.26,6082,54667,79418
0.61,39711,0,866.08887,952.52991,1673.58398,1837.69226,-0.05762,-0.01196,1.00015,0.088,0.228,-1.19,6081,54667,79417
0.62,39712,0,866.08887,952.52991,1673.58398,1837.61597,-0.05359,0.00049,0.99612,0.595,-0.333,-0.788,6081,54667,79417
0.63,39713,0,866.08887,952.52991,1673.58398,1837.84485,-0.05017,0.00476,0.99222,-0.07,-0.368,-0.858,6079,54666,79412
0.64,39714,0,866.08887,952.52991,1673.58398,1837.76855,-0.04944,0.00708,0.99197,-0.438,-0.21,-0.718,6079,54666,79412
0.65,39715,0,866.08887,952.45361,1673.88916,1837.46338,-0.04859,0.00696,0.99258,-0.595,-0.07,-0.56,6077,54665,79409
0.66,39716,0,866.08887,952.45361,1673.3551,1837.53967,-0.04883,0.01013,0.996,-0.753,0.035,-0.245,6077,54665,79409
0.67,39717,0,866.08887,952.45361,1673.58398,1837.46338,-0.0459,0.01001,0.99625,-1.715,0.298,-0.088,6078,54666,79407
0.68,39718,0,866.08887,952.45361,1673.81287,1837.31079,-0.04578,0.0061,0.996,-2.573,0.333,0.07,6078,54666,79407
0.69,39719,0,866.08887,952.45361,1673.66028,1837.76855,-0.04602,-0.00049,0.99771,-3.238,0.368,0.21,6081,54661,79407
0.7,39720,0,866.24146,952.45361,1673.58398,1837.69226,-0.04578,-0.00732,0.9971,-3.588,0.508,0.42,6081,54661,79407
0.71,39721,0,866.24146,952.45361,1673.66028,1837.61597,-0.04675,-0.00916,0.99527,-3.29,0.49,0.35,6079,54664,79412
0.72,39722,0,866.24146,952.45361,1673.58398,1837.46338,-0.04602,-0.00244,0.9971,-2.223,0.7,0.42,6079,54664,79412
0.73,39723,0,866.24146,952.45361,1673.66028,1837.61597,-0.04798,-0.00073,0.9982,-2.293,0.823,0.595,6081,54661,79413
0.74,39724,0,866.24146,952.45361,1673.58398,1837.53967,-0.05139,0.00061,1.0004,-2.52,0.928,0.683,6081,54661,79413
0.75,39725,0,866.24146,952.52991,1673.4314,1837.46338,-0.05176,0.00012,0.99881,-2.87,1.015,0.683,6081,54666,79415
0.76,39726,0,866.24146,952.52991,1673.50769,1837.38708,-0.05408,-0.00146,0.9993,-3.098,0.858,0.963,6081,54666,79415
0.77,39727,0,866.24146,952.52991,1673.73657,1837.84485,-0.05701,-0.00879,0.99686,-2.975,0.84,0.648,6081,54669,79423
0.78,39728,0,866.24146,952.52991,1673.66028,1837.61597,-0.06055,-0.0105,0.99759,-2.923,0.875,0.455,6081,54669,79423
0.79,39729,0,866.24146,952.52991,1673.66028,1837.76855,-0.06055,-0.01306,0.99747,-2.678,0.84,0.49,6085,54668,79425
0.8,39730,0,866.24146,952.52991,1673.81287,1837.53967,-0.06372,-0.01209,1.00064,-2.153,0.683,0.333,6085,54668,79425
0.81,39731,0,866.24146,952.52991,1673.58398,1837.69226,-0.06311,-0.01099,1.00027,-1.715,0.385,0.263,6085,54670,79429
0.82,39732,0,866.24146,952.52991,1673.50769,1837.76855,-0.06043,-0.00903,0.99832,-1.488,0.193,0.35,6085,54670,79429
0.83,39733,0,866.24146,952.52991,1673.73657,1837.69226,-0.05652,-0.00903,0.99661,-1.138,-0.07,-0.105,6086,54670,79429
0.84,39734,0,866.24146,952.52991,1673.58398,1837.99744,-0.05396,-0.0083,0.99759,-1.155,-0.21,0.018,6086,54670,79429
0.85,39735,0,866.24146,952.75879,1673.66028,1837.84485,-0.05359,-0.00684,0.9993,-1.103,-0.193,-0.193,6089,54669,79428
0.86,39736,0,866.24146,952.75879,1673.3551,1837.92114,-0.05176,-0.00903,0.99673,-1.12,-0.14,-0.245,6089,54669,79428
0.87,39737,0,866.24146,952.75879,1673.50769,1837.99744,-0.05152,-0.00952,0.99661,-0.998,-0.088,-0.14,6089,54669,79434
0.88,39738,0,866.24146,952.75879,1673.50769,1837.92114,-0.04944,-0.0061,0.99905,-0.595,-0.105,-0.28,6089,54669,79434
0.89,39739,0,866.24146,952.75879,1673.50769,1838.22632,-0.05042,-0.00305,0.9993,-0.315,0.088,-0.35,6092,54666,79434
0.9,39740,0,865.93628,952.75879,1673.58398,1837.84485,-0.05213,-0.00122,0.99759,-0.263,0.158,-0.315,6092,54666,79434
0.91,39741,0,865.93628,952.75879,1673.3551,1837.84485,-0.05225,-0.00232,0.99356,-0.385,0.088,-0.28,6095,54668,79439
0.92,39742,0,865.93628,952.75879,1673.4314,1837.84485,-0.05054,-0.00146,0.99295,-0.595,0.018,-0.473,6095,54668,79439
0.93,39743,0,865.93628,952.75879,1673.4314,1837.84485,-0.05164,-0.00256,0.99722,-0.63,0.21,-0.315,6095,54669,79446
0.94,39744,0,865.93628,952.75879,1673.4314,1837.92114,-0.05103,-0.00269,0.99771,-1.085,0.438,-0.56,6095,54669,79446
