Time(s),Seq,MissingBefore,Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.0,63884,0,858.23059,936.50818,1659.08813,1806.33545,-0.0531,-0.15784,0.99527,-3.728,1.173,0.035,6227,53809,80010
0.01,63885,0,858.23059,936.50818,1659.08813,1806.64062,-0.05225,-0.1576,0.99356,-3.588,1.173,-0.175,6227,53811,80010
0.02,63886,0,858.23059,936.50818,1659.39331,1806.71692,-0.05359,-0.15711,0.99466,-3.36,1.225,-0.263,6227,53811,80010
0.03,63887,0,858.23059,936.50818,1658.93555,1806.9458,-0.05139,-0.15772,0.99234,-3.343,1.103,-0.28,6225,53812,80011
0.04,63888,0,858.23059,936.50818,1658.93555,1806.71692,-0.05322,-0.15809,0.99258,-3.238,1.155,-0.245,6225,53812,80011
0.05,63889,0,858.23059,936.50818,1659.08813,1806.56433,-0.05518,-0.15711,0.99271,-3.36,1.295,-0.158,6224,53807,80002
0.06,63890,0,858.23059,936.50818,1658.70667,1806.64062,-0.05701,-0.15625,0.99332,-3.36,1.295,-0.368,6224,53807,80002
0.07,63891,0,858.23059,936.50818,1658.93555,1806.71692,-0.05567,-0.15564,0.99283,-3.395,1.225,-0.035,6225,53810,80013
0.08,63892,0,858.23059,936.50818,1659.01184,1806.48804,-0.05567,-0.15662,0.99295,-3.57,1.19,-0.14,6225,53810,80013
0.09,63893,0,858.23059,936.50818,1658.93555,1806.71692,-0.05432,-0.15979,0.9938,-3.78,1.068,-0.21,6225,53813,80010
0.1,63894,0,858.30688,936.50818,1658.93555,1806.64062,-0.05579,-0.1648,0.99783,-3.5,1.19,-0.14,6225,53813,80010
0.11,63895,0,858.30688,936.50818,1659.5459,1806.48804,-0.05737,-0.16504,0.996,-3.168,1.155,-0.385,6227,53810,80016
0.12,63896,0,858.30688,936.50818,1658.93555,1806.64062,-0.0586,-0.16431,0.99686,-2.643,0.928,-0.613,6227,53810,80016
0.13,63897,0,858.30688,936.50818,1659.08813,1806.56433,-0.05847,-0.16407,0.99527,-2.275,0.648,-0.403,6228,53812,80015
0.14,63898,0,858.30688,936.50818,1659.08813,1806.79321,-0.05921,-0.16016,0.99197,-2.17,0.56,-0.298,6228,53812,80015
0.15,63899,0,858.30688,936.58447,1659.08813,1806.64062,-0.05603,-0.15809,0.9888,-1.89,0.315,-0.525,6227,53812,80016
0.16,63900,0,858.30688,936.58447,1658.85925,1806.56433,-0.0542,-0.15699,0.99173,-1.908,0.14,-0.56,6227,53812,80016
0.17,63901,0,858.30688,936.58447,1659.77478,1806.56433,-0.05286,-0.15662,0.99405,-2.188,0.175,-0.858,6228,53811,80012
0.18,63902,0,858.30688,936.58447,1659.08813,1806.64062,-0.05286,-0.15589,0.99783,-2.433,0.333,-0.753,6228,53811,80012
0.19,63903,0,858.30688,936.58447,1659.01184,1806.48804,-0.052,-0.15931,0.99783,-2.205,0.385,-0.718,6223,53809,80003
0.2,63904,0,858.30688,936.58447,1659.08813,1806.56433,-0.05103,-0.16541,0.99637,-1.645,0.455,-0.788,6223,53809,80003
0.21,63905,0,858.30688,936.58447,1658.93555,1806.71692,-0.04932,-0.16407,0.99564,-0.98,0.49,-0.91,6222,53810,79998
0.22,63906,0,858.30688,936.58447,1658.93555,1806.71692,-0.0459,-0.14588,0.99319,-1.26,0.385,-1.12,6222,53810,79998
0.23,63907,0,858.30688,936.58447,1659.39331,1806.56433,-0.04566,-0.14356,0.98233,-2.153,0.525,-0.63,6221,53807,79992
0.24,63908,0,858.30688,936.58447,1658.85925,1806.56433,-0.0448,-0.14331,0.98526,-2.748,0.753,-0.403,6221,53807,79992
0.25,63909,0,858.30688,936.43188,1659.08813,1806.48804,-0.04602,-0.14612,0.99307,-3.255,0.893,-0.91,6218,53800,79986
0.26,63910,0,858.30688,936.43188,1658.78296,1806.56433,-0.05445,-0.14844,0.99686,-3.868,1.243,-1.173,6218,53800,79986
0.27,63911,0,858.30688,936.43188,1658.93555,1806.71692,-0.05676,-0.14942,0.98831,-3.553,1.173,-0.77,6214,53804,79983
0.28,63912,0,858.30688,936.43188,1658.85925,1806.79321,-0.05322,-0.15137,0.99332,-3.413,0.805,-1.208,6214,53804,79983
0.29,63913,0,858.30688,936.43188,1659.08813,1806.64062,-0.05249,-0.15284,0.99503,-4.025,1.138,-0.963,6211,53798,79975
0.3,63914,0,858.078,936.43188,1659.01184,1806.71692,-0.05847,-0.16138,0.99612,-4.463,1.243,-0.63,6211,53798,79975
0.31,63915,0,858.078,936.43188,1658.85925,1806.64062,-0.06323,-0.17066,0.99417,-4.918,1.278,-0.875,6209,53798,79977
0.32,63916,0,858.078,936.43188,1658.93555,1806.56433,-0.05799,-0.17298,0.99442,-3.185,0.543,-0.385,6209,53798,79977
0.33,63917,0,858.078,936.43188,1658.93555,1806.71692,-0.05005,-0.16224,0.99161,-1.733,0.123,-0.228,6206,53798,79972
0.34,63918,0,858.078,936.43188,1659.01184,1806.71692,-0.04651,-0.14978,0.99222,-0.928,0.298,-0.473,6206,53798,79972
0.35,63919,0,858.078,936.43188,1659.08813,1806.64062,-0.04639,-0.14393,0.99271,-1.26,0.525,-0.77,6203,53793,79961
0.36,63920,0,858.078,936.43188,1658.93555,1806.86951,-0.04798,-0.14283,0.991,-2.293,0.788,-0.823,6203,53793,79961
0.37,63921,0,858.078,936.43188,1659.08813,1806.86951,-0.04883,-0.15162,0.99551,-4.008,0.858,-0.893,6204,53792,79953
0.38,63922,0,858.078,936.43188,1659.16443,1806.79321,-0.05005,-0.15772,0.99686,-4.34,0.788,-1.015,6204,53792,79953
0.39,63923,0,858.078,936.43188,1659.08813,1806.64062,-0.05139,-0.16089,0.99258,-4.253,0.823,-1.138,6195,53790,79949
0.4,63924,0,858.38318,936.43188,1659.08813,1806.86951,-0.05249,-0.16138,0.98953,-3.71,0.805,-1.208,6195,53790,79949
0.41,63925,0,858.38318,936.43188,1660.00366,1806.64062,-0.05335,-0.15809,0.99307,-3.395,0.805,-1.278,6194,53790,79950
0.42,63926,0,858.38318,936.43188,1659.16443,1806.71692,-0.05518,-0.15772,0.9921,-3.15,0.963,-1.225,6194,53790,79950
0.43,63927,0,858.38318,936.43188,1659.16443,1806.71692,-0.05554,-0.15284,0.99332,-3.168,0.858,-1.208,6192,53793,79947
0.44,63928,0,858.38318,936.43188,1659.39331,1806.71692,-0.05518,-0.15259,0.99246,-3.29,0.91,-1.033,6192,53793,79947
0.45,63929,0,858.38318,936.50818,1659.16443,1806.48804,-0.05481,-0.15308,0.99271,-3.728,0.875,-1.103,6194,53793,79944
0.46,63930,0,858.38318,936.50818,1658.85925,1806.79321,-0.05274,-0.15394,0.99319,-3.955,0.84,-1.103,6194,53793,79944
0.47,63931,0,858.38318,936.50818,1659.08813,1806.79321,-0.05103,-0.15625,0.99393,-4.078,0.805,-1.26,6191,53787,79942
0.48,63932,0,858.38318,936.50818,1659.08813,1806.79321,-0.05017,-0.15491,0.99405,-3.553,0.928,-1.138,6191,53787,79942
0.49,63933,0,858.38318,936.50818,1659.08813,1806.79321,-0.05005,-0.15308,0.99429,-3.395,0.963,-1.278,6185,53784,79936
0.5,63934,0,858.61206,936.50818,1659.31702,1806.56433,-0.052,-0.15284,0.99405,-3.43,1.103,-1.033,6185,53784,79936
0.51,63935,0,858.61206,936.50818,1659.01184,1806.71692,-0.05432,-0.15284,0.99588,-3.745,1.085,-1.155,6184,53785,79936
0.52,63936,0,858.61206,936.50818,1659.08813,1806.79321,-0.05457,-0.15479,0.99295,-3.728,1.12,-0.928,6184,53785,79936
0.53,63937,0,858.61206,936.50818,1659.24072,1806.71692,-0.05628,-0.15625,0.99368,-3.815,0.91,-0.98,6187,53785,79936
0.54,63938,0,858.61206,936.50818,1659.08813,1806.79321,-0.05518,-0.15723,0.99234,-3.868,0.945,-1.033,6187,53785,79936
0.55,63939,0,858.61206,936.58447,1659.24072,1806.79321,-0.05518,-0.15662,0.99307,-3.763,0.998,-1.068,6188,53784,79932
0.56,63940,0,858.61206,936.58447,1659.5459,1806.79321,-0.0542,-0.15601,0.99283,-3.57,0.91,-0.945,6188,53784,79932
0.57,63941,0,858.61206,936.58447,1659.08813,1806.71692,-0.05298,-0.15601,0.99295,-3.605,0.928,-1.015,6183,53783,79929
