Time(s),Seq,MissingBefore,Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.43,9945,0,858.078,932.99866,1658.09631,1800.23193,-0.03308,-0.15174,0.99283,-1.785,0.578,-1.715,6725,59582,86625
0.44,9946,0,858.078,932.99866,1658.17261,1800.30823,-0.03174,-0.15345,0.99332,-2.24,0.613,-1.628,6723,59582,86626
0.45,9947,0,858.078,932.99866,1658.17261,1800.38452,-0.03223,-0.15699,0.99356,-2.398,0.735,-1.383,6723,59582,86626
0.46,9948,0,858.078,932.99866,1658.63037,1800.30823,-0.03516,-0.15662,0.99686,-2.748,0.875,-1.173,6727,59586,86634
0.47,9949,0,858.078,933.07495,1658.3252,1800.38452,-0.03699,-0.15638,0.99478,-2.853,0.963,-1.05,6727,59586,86634
0.48,9950,0,858.078,933.07495,1658.02002,1800.38452,-0.03955,-0.15796,0.99344,-3.08,0.893,-0.928,6725,59585,86632
0.49,9951,0,858.078,933.07495,1658.63037,1800.23193,-0.04016,-0.16053,0.9899,-3.273,0.858,-0.63,6725,59585,86632
0.5,9952,0,858.078,933.07495,1658.02002,1800.30823,-0.04126,-0.16175,0.98929,-3.36,0.945,-0.298,6729,59586,86635
0.51,9953,0,858.078,933.07495,1658.09631,1800.07935,-0.04431,-0.16199,0.99136,-3.203,1.033,-0.28,6729,59586,86635
0.52,9954,0,858.30688,933.07495,1658.40149,1800.30823,-0.04382,-0.16236,0.99112,-3.15,1.05,-0.385,6729,59586,86637
0.53,9955,0,858.30688,933.07495,1658.02002,1800.23193,-0.04443,-0.16089,0.99356,-3.08,0.858,-0.455,6729,59586,86637
0.54,9956,0,858.30688,933.07495,1658.17261,1800.30823,-0.04358,-0.16199,0.99295,-3.273,0.945,-0.263,6731,59587,86637
0.55,9957,0,858.30688,933.07495,1658.47778,1800.07935,-0.04285,-0.16407,0.99087,-3.728,0.858,-0.473,6731,59587,86637
0.56,9958,0,858.30688,933.07495,1658.2489,1800.15564,-0.04248,-0.16553,0.99063,-3.588,0.823,-0.333,6731,59585,86640
0.57,9959,0,858.30688,933.15125,1658.09631,1800.46082,-0.04151,-0.16602,0.99051,-3.518,0.875,-0.438,6731,59585,86640
0.58,9960,0,858.30688,933.15125,1658.78296,1800.07935,-0.04187,-0.16651,0.991,-3.395,0.998,-0.613,6734,59589,86644
0.59,9961,0,858.30688,933.15125,1658.2489,1800.15564,-0.04151,-0.16724,0.99112,-3.273,0.998,-0.56,6734,59589,86644
0.6,9962,0,858.30688,933.15125,1658.2489,1800.30823,-0.04236,-0.16639,0.99442,-3.238,0.858,-0.473,6735,59590,86645
0.61,9963,0,858.30688,933.15125,1658.63037,1800.23193,-0.03992,-0.16639,0.99478,-3.15,0.893,-0.543,6735,59590,86645
0.62,9964,0,858.078,933.15125,1658.17261,1800.30823,-0.04016,-0.167,0.9921,-2.94,0.928,-0.7,6736,59590,86649
0.63,9965,0,858.078,933.15125,1658.02002,1800.38452,-0.04028,-0.16468,0.99002,-3.028,0.893,-0.56,6736,59590,86649
0.64,9966,0,858.078,933.15125,1658.40149,1800.30823,-0.04089,-0.16321,0.99002,-2.783,0.753,-0.683,6739,59588,86656
0.65,9967,0,858.078,933.15125,1658.17261,1800.38452,-0.04077,-0.16126,0.991,-2.66,0.753,-0.578,6739,59588,86656
0.66,9968,0,858.078,933.15125,1658.17261,1800.38452,-0.04285,-0.16285,0.99258,-2.643,0.753,-0.42,6742,59592,86658
0.67,9969,0,858.078,933.07495,1658.55408,1800.30823,-0.04248,-0.16468,0.99051,-2.765,0.77,-0.438,6742,59592,86658
0.68,9970,0,858.078,933.07495,1658.09631,1800.30823,-0.04309,-0.16346,0.99246,-2.538,0.7,-0.543,6744,59595,86659
0.69,9971,0,858.078,933.07495,1658.09631,1800.38452,-0.04212,-0.16248,0.99075,-2.59,0.788,-0.403,6744,59595,86659
0.7,9972,0,858.078,933.07495,1658.55408,1800.30823,-0.04273,-0.16199,0.99271,-2.713,0.805,-0.473,6747,59593,86661
0.71,9973,0,858.078,933.07495,1658.09631,1800.30823,-0.04028,-0.16395,0.99039,-2.713,0.823,-0.455,6747,59593,86661
0.72,9974,0,858.1543,933.07495,1658.3252,1800.23193,-0.04041,-0.1626,0.99307,-2.608,0.805,-0.595,6749,59592,86664
0.73,9975,0,858.1543,933.07495,1658.09631,1800.23193,-0.03919,-0.16114,0.99234,-2.643,0.875,-0.648,6749,59592,86664
0.74,9976,0,858.1543,933.07495,1658.02002,1800.38452,-0.03772,-0.16163,0.99197,-2.818,0.735,-0.438,6748,59598,86667
0.75,9977,0,858.1543,933.07495,1658.09631,1800.38452,-0.03797,-0.16309,0.99075,-3.01,0.753,-0.438,6748,59598,86667
0.76,9978,0,858.1543,933.07495,1658.63037,1800.38452,-0.03882,-0.16358,0.99234,-3.185,0.98,-0.368,6752,59596,86675
0.77,9979,0,858.1543,933.15125,1658.17261,1800.46082,-0.04065,-0.16175,0.99234,-3.01,1.033,-0.228,6752,59596,86675
0.78,9980,0,858.1543,933.15125,1658.09631,1800.38452,-0.0426,-0.16053,0.99356,-3.045,0.945,-0.473,6753,59597,86676
0.79,9981,0,858.1543,933.15125,1658.63037,1800.30823,-0.04212,-0.16236,0.99258,-3.115,0.98,-0.21,6753,59597,86676
0.8,9982,0,858.1543,933.15125,1658.17261,1800.38452,-0.0426,-0.16419,0.99405,-3.29,0.945,-0.105,6759,59596,86679
0.81,9983,0,858.1543,933.15125,1658.17261,1800.30823,-0.04395,-0.16578,0.99234,-2.695,0.823,-0.193,6759,59596,86679
0.82,9984,0,858.23059,933.15125,1658.2489,1800.46082,-0.04236,-0.16553,0.98978,-2.52,0.84,-0.683,6759,59598,86681
0.83,9985,0,858.23059,933.15125,1657.94373,1800.46082,-0.04065,-0.16663,0.98856,-2.555,0.945,-0.665,6759,59598,86681
0.84,9986,0,858.23059,933.15125,1658.2489,1800.38452,-0.04151,-0.16724,0.99136,-2.52,0.805,-0.613,6764,59600,86685
0.85,9987,0,858.23059,933.15125,1658.78296,1800.46082,-0.04077,-0.16614,0.99161,-2.59,0.788,-0.665,6764,59600,86685
0.86,9988,0,858.23059,933.15125,1658.2489,1800.38452,-0.04224,-0.16504,0.99393,-2.538,0.753,-0.788,6763,59605,86687
0.87,9989,0,858.23059,933.07495,1658.2489,1800.30823,-0.03943,-0.15992,0.99039,-2.555,0.858,-0.63,6763,59605,86687
0.88,9990,0,858.23059,933.07495,1658.47778,1800.23193,-0.03967,-0.15918,0.99075,-2.835,0.84,-0.858,6766,59602,86689
0.89,9991,0,858.23059,933.07495,1658.2489,1800.15564,-0.04004,-0.15796,0.99307,-3.168,0.91,-0.84,6766,59602,86689
0.9,9992,0,858.23059,933.07495,1658.3252,1800.15564,-0.03967,-0.16089,0.99283,-3.325,0.98,-0.683,6768,59605,86692
0.91,9993,0,858.23059,933.07495,1658.47778,1800.46082,-0.04212,-0.16114,0.99295,-3.273,0.945,-0.683,6768,59605,86692
0.92,9994,0,858.1543,933.07495,1658.2489,1800.23193,-0.04273,-0.16346,0.99246,-3.08,0.928,-0.63,6769,59605,86693
0.93,9995,0,858.1543,933.07495,1657.94373,1800.38452,-0.04297,-0.16443,0.99161,-3.045,0.875,-0.648,6769,59605,86693
0.94,9996,0,858.1543,933.07495,1658.40149,1800.38452,-0.04297,-0.1637,0.99185,-2.993,0.875,-0.77,6771,59604,86698
0.95,9997,0,858.1543,933.07495,1658.2489,1800.46082,-0.04236,-0.16358,0.99039,-3.098,0.753,-0.945,6771,59604,86698
0.96,9998,0,858.1543,933.07495,1658.17261,1800.46082,-0.04273,-0.16443,0.98953,-3.098,0.753,-0.875,6774,59602,86700
0.97,9999,0,858.1543,933.07495,1658.47778,1800.23193,-0.03858,-0.16248,0.99075,-2.818,0.805,-0.788,6774,59602,86700
0.98,10000,0,858.1543,933.07495,1658.09631,1800.46082,-0.03711,-0.1615,0.99039,-3.028,0.875,-0.893,6776,59600,86692
0.99,10001,0,858.1543,933.07495,1658.17261,1800.46082,-0.03955,-0.16126,0.99429,-2.853,0.91,-0.473,6776,59600,86692
1.0,10002,0,858.1543,933.07495,1658.55408,1800.38452,-0.04028,-0.16285,0.99442,-3.01,0.77,-0.49,6775,59603,86693
1.01,10003,0,858.1543,933.07495,1658.09631,1800.38452,-0.0398,-0.16248,0.99576,-2.94,0.753,-0.788,6775,59603,86693
1.02,10004,0,858.078,933.07495,1658.2489,1800.38452,-0.04163,-0.16004,0.99197,-2.8,0.945,-0.49,6772,59605,86689
1.03,10005,0,858.078,933.07495,1658.40149,1800.23193,-0.04199,-0.16163,0.99124,-2.87,0.805,-0.613,6772,59605,86689
1.04,10006,0,858.078,933.07495,1658.17261,1800.38452,-0.04077,-0.16456,0.9888,-2.853,0.77,-0.595,6767,59606,86682
1.05,10007,0,858.078,933.07495,1658.17261,1800.30823,-0.04102,-0.16272,0.9888,-2.713,0.858,-0.665,6767,59606,86682
1.06,10008,0,858.078,933.07495,1658.63037,1800.15564,-0.04175,-0.16236,0.99039,-2.8,0.91,-0.718,6768,59601,86679
1.07,10009,0,858.078,933.15125,1658.17261,1800.38452,-0.04297,-0.16492,0.99344,-3.168,0.753,-0.508,6768,59601,86679
1.08,10010,0,858.078,933.15125,1658.17261,1800.30823,-0.04224,-0.16565,0.99283,-3.185,0.735,-0.893,6764,59597,86674
1.09,10011,0,858.078,933.15125,1658.47778,1800.23193,-0.03992,-0.16492,0.99026,-2.87,0.753,-0.753,6764,59597,86674
1.1,10012,0,858.078,933.15125,1658.2489,1800.15564,-0.03894,-0.16248,0.98941,-2.713,0.805,-0.84,6763,59599,86671
1.11,10013,0,858.078,933.15125,1658.2489,1800.23193,-0.04016,-0.16065,0.99136,-2.748,0.84,-0.893,6763,59599,86671
1.12,10014,0,858.38318,933.15125,1658.2489,1800.30823,-0.03919,-0.15796,0.99344,-2.94,0.805,-0.805,6762,59595,86663
1.13,10015,0,858.38318,933.15125,1658.09631,1800.23193,-0.03906,-0.15784,0.99271,-3.045,0.84,-0.648,6762,59595,86663
1.14,10016,0,858.38318,933.15125,1658.2489,1800.23193,-0.04102,-0.16004,0.9949,-3.22,0.875,-0.543,6759,59593,86658
1.15,10017,0,858.38318,933.15125,1658.55408,1800.30823,-0.0398,-0.16382,0.99258,-3.15,0.858,-0.42,6759,59593,86658
1.16,10018,0,858.38318,933.15125,1658.3252,1800.38452,-0.03992,-0.1615,0.99173,-3.028,0.91,-0.473,6756,59593,86648
1.17,10019,0,858.38318,933.15125,1658.3252,1800.23193,-0.04016,-0.16089,0.99234,-3.168,0.858,-0.595,6756,59593,86648
1.18,10020,0,858.38318,933.15125,1658.70667,1800.38452,-0.04089,-0.16285,0.99271,-3.43,0.805,-0.595,6752,59591,86647
1.19,10021,0,858.38318,933.15125,1658.2489,1800.38452,-0.04016,-0.16419,0.99112,-3.255,0.84,-0.385,6752,59591,86647
1.2,10022,0,858.38318,933.15125,1658.2489,1800.38452,-0.04028,-0.16321,0.991,-3.15,0.928,-0.385,6750,59589,86646
1.21,10023,0,858.38318,933.15125,1658.17261,1800.38452,-0.04175,-0.16102,0.99283,-2.975,1.015,-0.543,6750,59589,86646
1.22,10024,0,858.078,933.15125,1658.2489,1800.46082,-0.04297,-0.16089,0.99307,-2.835,0.788,-0.245,6750,59591,86642
1.23,10025,0,858.078,933.15125,1657.86743,1800.46082,-0.04334,-0.16041,0.98953,-2.8,0.91,-0.315,6750,59591,86642
1.24,10026,0,858.078,933.15125,1658.47778,1800.38452,-0.04212,-0.15894,0.98953,-2.993,0.858,-0.578,6747,59586,86640
1.25,10027,0,858.078,933.15125,1658.09631,1800.38452,-0.03931,-0.16016,0.98795,-3.36,0.945,-0.56,6747,59586,86640
1.26,10028,0,858.078,933.15125,1658.09631,1800.38452,-0.04016,-0.16065,0.99173,-3.64,0.963,-0.525,6747,59585,86636
1.27,10029,0,858.078,933.07495,1658.55408,1800.38452,-0.03894,-0.16553,0.99564,-3.71,0.91,-0.578,6747,59585,86636
1.28,10030,0,858.078,933.07495,1657.94373,1800.38452,-0.03613,-0.16639,0.99222,-3.378,0.963,-0.49,6747,59583,86636
1.29,10031,0,858.078,933.07495,1658.02002,1800.46082,-0.0376,-0.16504,0.99185,-3.115,1.033,-0.7,6747,59583,86636
1.3,10032,0,858.078,933.07495,1658.40149,1800.38452,-0.03699,-0.16224,0.99087,-2.958,0.91,-0.648,6746,59585,86633
1.31,10033,0,858.078,933.07495,1658.02002,1800.30823,-0.04053,-0.1626,0.99307,-3.255,0.998,-0.595,6746,59585,86633
1.32,10034,0,858.00171,933.07495,1658.2489,1800.30823,-0.04309,-0.16248,0.99283,-3.448,1.033,-0.368,6744,59584,86634
1.33,10035,0,858.00171,933.07495,1658.17261,1800.30823,-0.04309,-0.16248,0.99356,-3.395,1.015,-0.368,6744,59584,86634
1.34,10036,0,858.00171,933.07495,1658.2489,1800.38452,-0.04431,-0.16236,0.99124,-3.255,0.823,-0.543,6747,59584,86627
1.35,10037,0,858.00171,933.07495,1658.2489,1800.38452,-0.04212,-0.16248,0.98917,-3.133,0.84,-0.42,6747,59584,86627
1.36,10038,0,858.00171,933.07495,1658.85925,1800.30823,-0.04346,-0.1637,0.99039,-3.08,0.788,-0.42,6744,59582,86628
1.37,10039,0,858.00171,933.15125,1658.2489,1800.76599,-0.04273,-0.16468,0.9921,-3.08,0.928,-0.525,6744,59582,86628
1.38,10040,0,858.00171,933.15125,1658.2489,1800.38452,-0.04334,-0.16504,0.9949,-3.028,0.858,-0.508,6744,59582,86628
1.39,10041,0,858.00171,933.15125,1658.70667,1800.38452,-0.04102,-0.1648,0.99246,-2.923,0.84,-0.56,6744,59582,86628
1.4,10042,0,858.00171,933.15125,1658.2489,1800.46082,-0.04041,-0.16248,0.99234,-3.08,0.823,-0.49,6744,59580,86625
1.41,10043,0,858.00171,933.15125,1658.17261,1800.30823,-0.04028,-0.16321,0.99173,-3.308,0.805,-0.508,6744,59580,86625
1.42,10044,0,858.38318,933.15125,1658.40149,1800.46082,-0.03943,-0.16285,0.99307,-3.15,0.98,-0.543,6743,59585,86627
1.43,10045,0,858.38318,933.15125,1658.02002,1800.46082,-0.03797,-0.16334,0.99258,-3.063,0.875,-0.508,6743,59585,86627
1.44,10046,0,858.38318,933.15125,1658.2489,1800.38452,-0.03894,-0.16309,0.99344,-2.888,0.718,-0.613,6746,59580,86626
1.45,10047,0,858.38318,933.15125,1658.70667,1800.46082,-0.04016,-0.16321,0.9938,-2.87,0.823,-0.403,6746,59580,86626
1.46,10048,0,858.38318,933.15125,1658.2489,1800.30823,-0.04187,-0.16395,0.99356,-2.713,0.753,-0.49,6746,59583,86627
1.47,10049,0,858.38318,933.07495,1658.40149,1800.15564,-0.04187,-0.16321,0.99014,-2.713,0.788,-0.578,6746,59583,86627
1.48,10050,0,858.38318,933.07495,1658.55408,1800.46082,-0.04273,-0.16224,0.98892,-2.748,0.858,-0.718,6743,59583,86624
1.49,10051,0,858.38318,933.07495,1658.2489,1800.38452,-0.0448,-0.16297,0.98929,-2.853,0.788,-0.56,6743,59583,86624
1.5,10052,0,858.38318,933.07495,1658.2489,1800.53711,-0.04346,-0.16236,0.99014,-2.87,0.77,-0.63,6747,59581,86627
1.51,10053,0,858.38318,933.07495,1658.47778,1800.6897,-0.0426,-0.16175,0.99234,-2.87,0.753,-0.49,6747,59581,86627
1.52,10054,0,858.1543,933.07495,1658.3252,1800.23193,-0.04089,-0.16077,0.99344,-3.028,0.84,-0.543,6748,59582,86631
1.53,10055,0,858.1543,933.07495,1658.02002,1800.46082,-0.03821,-0.16187,0.99234,-3.028,0.84,-0.578,6748,59582,86631
1.54,10056,0,858.1543,933.07495,1658.55408,1800.6134,-0.03613,-0.16126,0.99258,-3.01,0.91,-0.473,6747,59582,86629
1.55,10057,0,858.1543,933.07495,1658.17261,1800.76599,-0.03748,-0.16138,0.99576,-3.168,0.875,-0.298,6747,59582,86629
1.56,10058,0,858.1543,933.07495,1658.3252,1800.6134,-0.03845,-0.16272,0.99478,-3.203,0.875,-0.28,6750,59582,86633
1.57,10059,0,858.1543,933.07495,1658.63037,1800.38452,-0.03772,-0.16236,0.9949,-3.098,0.893,-0.228,6750,59582,86633
1.58,10060,0,858.1543,933.07495,1658.17261,1800.46082,-0.03894,-0.16175,0.99234,-2.905,0.823,-0.193,6751,59585,86635
1.59,10061,0,858.1543,933.07495,1658.3252,1800.38452,-0.04114,-0.16138,0.99149,-2.94,0.858,-0.403,6751,59585,86635
1.6,10062,0,858.1543,933.07495,1658.85925,1800.30823,-0.04431,-0.16346,0.99075,-3.045,0.875,-0.245,6751,59586,86638
1.61,10063,0,858.1543,933.07495,1658.3252,1800.46082,-0.04602,-0.16248,0.99087,-3.15,0.77,-0.315,6751,59586,86638
1.62,10064,0,858.1543,933.07495,1658.3252,1800.46082,-0.04517,-0.16175,0.9899,-3.168,0.91,-0.543,6753,59585,86643
1.63,10065,0,858.1543,933.07495,1658.55408,1800.23193,-0.04236,-0.16297,0.98929,-3.22,0.91,-0.525,6753,59585,86643
1.64,10066,0,858.1543,933.07495,1658.3252,1800.38452,-0.04224,-0.1648,0.991,-3.378,0.998,-0.455,6755,59586,86642
1.65,10067,0,858.1543,933.07495,1658.3252,1800.23193,-0.03894,-0.16358,0.9921,-3.378,0.858,-0.7,6755,59586,86642
1.66,10068,0,858.1543,933.07495,1658.78296,1800.23193,-0.03748,-0.16419,0.99258,-3.308,0.858,-0.665,6756,59588,86645
1.67,10069,0,858.1543,933.22754,1658.17261,1800.38452,-0.03833,-0.16321,0.99258,-3.255,0.91,-0.14,6756,59588,86645
1.68,10070,0,858.1543,933.22754,1658.2489,1800.46082,-0.03967,-0.16126,0.99564,-3.29,0.805,-0.42,6756,59588,86645
1.69,10071,0,858.1543,933.22754,1658.55408,1800.38452,-0.03723,-0.16309,0.99234,-3.15,0.823,-0.508,6755,59588,86649
1.7,10072,0,858.1543,933.22754,1658.2489,1800.46082,-0.03967,-0.16346,0.99295,-3.22,0.858,-0.525,6755,59588,86649
1.71,10073,0,858.1543,933.22754,1658.3252,1800.46082,-0.04199,-0.16187,0.99246,-3.29,0.805,-0.578,6760,59590,86645
1.72,10074,0,858.45947,933.22754,1658.93555,1800.38452,-0.04163,-0.16211,0.991,-3.36,0.893,-0.805,6760,59589,86649
1.73,10075,0,858.45947,933.22754,1658.17261,1800.38452,-0.04248,-0.16272,0.9921,-3.448,0.823,-0.7,6760,59589,86649
1.74,10076,0,858.45947,933.22754,1658.40149,1800.46082,-0.04236,-0.16358,0.99014,-3.238,0.823,-0.56,6760,59589,86649
1.75,10077,0,858.45947,933.22754,1658.55408,1800.53711,-0.04175,-0.16199,0.99051,-3.255,0.928,-0.683,6763,59584,86652
1.76,10078,0,858.45947,933.22754,1658.3252,1800.6134,-0.04419,-0.16358,0.99283,-3.553,0.928,-0.56,6763,59584,86652
1.77,10079,0,858.45947,933.15125,1658.40149,1800.53711,-0.04321,-0.16492,0.99149,-3.605,0.858,-0.473,6765,59595,86659
1.78,10080,0,858.45947,933.15125,1658.63037,1800.53711,-0.04187,-0.16297,0.99222,-3.395,0.945,-0.718,6765,59595,86659
1.79,10081,0,858.45947,933.15125,1658.17261,1800.53711,-0.04138,-0.16248,0.99063,-3.22,0.84,-0.683,6764,59592,86661
1.8,10082,0,858.45947,933.15125,1658.17261,1800.53711,-0.04004,-0.16224,0.99002,-3.395,0.928,-0.805,6764,59592,86661
1.81,10083,0,858.45947,933.15125,1658.55408,1800.30823,-0.04053,-0.16334,0.99417,-3.395,0.963,-0.63,6767,59591,86660
1.82,10084,0,858.078,933.15125,1658.40149,1800.38452,-0.03821,-0.1626,0.99417,-3.308,0.875,-0.7,6770,59591,86663
1.83,10085,0,858.078,933.15125,1657.86743,1800.53711,-0.03687,-0.16211,0.99246,-3.168,0.84,-0.665,6770,59591,86663
1.84,10086,0,858.078,933.15125,1658.17261,1800.38452,-0.03687,-0.16272,0.99136,-3.308,0.945,-0.753,6770,59591,86663
1.85,10087,0,858.078,933.15125,1658.09631,1800.38452,-0.0387,-0.16419,0.99319,-3.71,0.98,-0.665,6770,59592,86665
1.86,10088,0,858.078,933.15125,1658.02002,1800.30823,-0.04016,-0.16334,0.99026,-3.378,0.98,-0.455,6770,59592,86665
1.87,10089,0,858.078,933.07495,1658.47778,1800.46082,-0.04077,-0.16346,0.99026,-3.343,0.98,-0.578,6773,59592,86673
1.88,10090,0,858.078,933.07495,1657.94373,1800.53711,-0.04163,-0.16504,0.99112,-3.623,0.945,-0.543,6773,59592,86673
