motion_type,target_scope,cascade_scheme,adaptive_filter,objective_mode,data_split_mode,n_trials,n_repeats,best_repeat_idx,best_trial_idx,success,reason,train_aae_bpm,train_accuracy_pct,train_baseline_aae_bpm,train_baseline_accuracy_pct,train_num_windows,val_aae_bpm,val_accuracy_pct,val_baseline_aae_bpm,val_baseline_accuracy_pct,val_num_windows,test_aae_bpm,test_accuracy_pct,test_baseline_aae_bpm,test_baseline_accuracy_pct,test_num_windows
tiaosheng,motion_only,ACC3,lms,accuracy,split,1,1,0,0,True,,66.37831115722656,4.6875,14.503707885742188,20.3125,64,3.3090345594618054,79.16666666666666,5.127224392361111,66.66666666666666,72,53.77024274553571,10.0,50.929896763392854,20.0,70
tiaosheng,motion_only,ACC3,volterra,accuracy,split,1,1,0,0,True,,8.807403564453125,32.8125,14.503707885742188,20.3125,64,67.51168484157986,9.722222222222223,5.127224392361111,66.66666666666666,72,12.812995256696428,21.428571428571427,50.929896763392854,20.0,70
tiaosheng,motion_only,ACC3,rff_lms,accuracy,split,1,1,0,0,True,,10.309478759765625,20.3125,14.503707885742188,20.3125,64,3.030368381076389,80.55555555555556,5.127224392361111,66.66666666666666,72,50.757254464285715,18.571428571428573,50.929896763392854,20.0,70
tiaosheng,motion_only,HF2,lms,accuracy,split,1,1,0,0,True,,10.3209228515625,28.125,14.503707885742188,20.3125,64,8.109598795572916,56.94444444444444,5.127224392361111,66.66666666666666,72,53.71154436383929,15.714285714285714,50.929896763392854,20.0,70
tiaosheng,motion_only,HF2,volterra,accuracy,split,1,1,0,0,True,,10.022544860839844,31.25,14.503707885742188,20.3125,64,7.663079155815972,59.72222222222222,5.127224392361111,66.66666666666666,72,46.525390625,11.428571428571429,50.929896763392854,20.0,70
tiaosheng,motion_only,HF2,rff_lms,accuracy,split,1,1,0,0,True,,11.379501342773438,28.125,14.503707885742188,20.3125,64,3.091403537326389,79.16666666666666,5.127224392361111,66.66666666666666,72,46.535365513392854,18.571428571428573,50.929896763392854,20.0,70
tiaosheng,motion_only,CF2,lms,accuracy,split,1,1,0,0,True,,9.534469604492188,25.0,14.503707885742188,20.3125,64,24.38211398654514,56.94444444444444,5.127224392361111,66.66666666666666,72,51.39677036830357,18.571428571428573,50.929896763392854,20.0,70
tiaosheng,motion_only,CF2,volterra,accuracy,split,1,1,0,0,True,,9.782722473144531,17.1875,14.503707885742188,20.3125,64,64.69634331597223,15.277777777777779,5.127224392361111,66.66666666666666,72,48.599741908482144,17.142857142857142,50.929896763392854,20.0,70
tiaosheng,motion_only,CF2,rff_lms,accuracy,split,1,1,0,0,True,,10.063430786132812,25.0,14.503707885742188,20.3125,64,3.060885959201389,80.55555555555556,5.127224392361111,66.66666666666666,72,54.487374441964285,18.571428571428573,50.929896763392854,20.0,70
tiaosheng,motion_only,HF2_CF2,lms,accuracy,split,1,1,0,0,True,,8.181480407714844,35.9375,14.503707885742188,20.3125,64,8.4752197265625,52.77777777777778,5.127224392361111,66.66666666666666,72,53.323214285714286,15.714285714285714,50.929896763392854,20.0,70
tiaosheng,motion_only,HF2_CF2,volterra,accuracy,split,1,1,0,0,True,,8.858299255371094,29.6875,14.503707885742188,20.3125,64,66.27562798394098,15.277777777777779,5.127224392361111,66.66666666666666,72,50.68096400669643,5.714285714285714,50.929896763392854,20.0,70
tiaosheng,motion_only,HF2_CF2,rff_lms,accuracy,split,1,1,0,0,True,,11.379501342773438,28.125,14.503707885742188,20.3125,64,3.091403537326389,79.16666666666666,5.127224392361111,66.66666666666666,72,48.97328404017857,18.571428571428573,50.929896763392854,20.0,70
tiaosheng,motion_only,CF2_HF2,lms,accuracy,split,1,1,0,0,True,,9.160324096679688,29.6875,14.503707885742188,20.3125,64,26.444322374131943,58.333333333333336,5.127224392361111,66.66666666666666,72,49.386446707589286,15.714285714285714,50.929896763392854,20.0,70
tiaosheng,motion_only,CF2_HF2,volterra,accuracy,split,1,1,0,0,True,,69.03081512451172,10.9375,14.503707885742188,20.3125,64,70.29003228081598,9.722222222222223,5.127224392361111,66.66666666666666,72,55.1251953125,10.0,50.929896763392854,20.0,70
tiaosheng,motion_only,CF2_HF2,rff_lms,accuracy,split,1,1,0,0,True,,11.379501342773438,28.125,14.503707885742188,20.3125,64,3.091403537326389,79.16666666666666,5.127224392361111,66.66666666666666,72,46.315638950892854,18.571428571428573,50.929896763392854,20.0,70
tiaosheng,motion_only,ACC3_HF2,lms,accuracy,split,1,1,0,0,True,,67.48552703857422,4.6875,14.503707885742188,20.3125,64,10.779127332899305,59.72222222222222,5.127224392361111,66.66666666666666,72,52.84303152901786,10.0,50.929896763392854,20.0,70
tiaosheng,motion_only,ACC3_HF2,volterra,accuracy,split,1,1,0,0,True,,65.99526977539062,3.125,14.503707885742188,20.3125,64,67.18995496961806,9.722222222222223,5.127224392361111,66.66666666666666,72,12.023416573660715,20.0,50.929896763392854,20.0,70
tiaosheng,motion_only,ACC3_HF2,rff_lms,accuracy,split,1,1,0,0,True,,10.292312622070312,20.3125,14.503707885742188,20.3125,64,3.0100233289930554,80.55555555555556,5.127224392361111,66.66666666666666,72,50.77294921875,18.571428571428573,50.929896763392854,20.0,70
tiaosheng,motion_only,HF2_ACC3,lms,accuracy,split,1,1,0,0,True,,8.977378845214844,29.6875,14.503707885742188,20.3125,64,8.431816948784721,58.333333333333336,5.127224392361111,66.66666666666666,72,52.747467912946426,10.0,50.929896763392854,20.0,70
tiaosheng,motion_only,HF2_ACC3,volterra,accuracy,split,1,1,0,0,True,,59.869483947753906,7.8125,14.503707885742188,20.3125,64,67.75582546657986,9.722222222222223,5.127224392361111,66.66666666666666,72,13.796923828125,27.142857142857142,50.929896763392854,20.0,70
tiaosheng,motion_only,HF2_ACC3,rff_lms,accuracy,split,1,1,0,0,True,,10.303756713867188,20.3125,14.503707885742188,20.3125,64,3.0803087022569446,79.16666666666666,5.127224392361111,66.66666666666666,72,50.762486049107146,18.571428571428573,50.929896763392854,20.0,70
tiaosheng,motion_recovery,ACC3,lms,accuracy,split,1,1,0,0,True,,54.43549670911815,16.43835616438356,10.985498715753424,27.397260273972602,146,4.339567057291666,66.0,5.391959635416667,57.333333333333336,150,46.13112130070364,13.90728476821192,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,ACC3,volterra,accuracy,split,1,1,0,0,True,,8.149300353167808,36.986301369863014,10.985498715753424,27.397260273972602,146,49.0966796875,16.666666666666664,5.391959635416667,57.333333333333336,150,27.042457833195364,19.867549668874172,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,ACC3,rff_lms,accuracy,split,1,1,0,0,True,,9.011926102311644,30.136986301369863,10.985498715753424,27.397260273972602,146,4.343115234375,62.66666666666667,5.391959635416667,57.333333333333336,150,44.0965341732202,21.192052980132452,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,HF2,lms,accuracy,split,1,1,0,0,True,,8.899327108304794,32.19178082191781,10.985498715753424,27.397260273972602,146,8.392659505208334,50.66666666666667,5.391959635416667,57.333333333333336,150,33.086202659354306,21.192052980132452,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,HF2,volterra,accuracy,split,1,1,0,0,True,,8.786089335402398,32.87671232876712,10.985498715753424,27.397260273972602,146,7.970810546875,49.333333333333336,5.391959635416667,57.333333333333336,150,26.369085652938743,21.85430463576159,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,HF2,rff_lms,accuracy,split,1,1,0,0,True,,9.432807817851028,31.506849315068493,10.985498715753424,27.397260273972602,146,4.262692057291667,64.0,5.391959635416667,57.333333333333336,150,29.57275390625,22.516556291390728,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,CF2,lms,accuracy,split,1,1,0,0,True,,8.684737532106164,30.82191780821918,10.985498715753424,27.397260273972602,146,32.89155598958333,37.333333333333336,5.391959635416667,57.333333333333336,150,40.463142849751655,22.516556291390728,44.25849156663907,23.841059602649008,151
tiaosheng,motion_recovery,CF2,volterra,accuracy,split,1,1,0,0,True,,8.799831442636986,27.397260273972602,10.985498715753424,27.397260273972602,146,51.58564778645833,14.666666666666666,5.391959635416667,57.333333333333336,150,34.594134804428805,22.516556291390728,44.25849156663907,23.841059602649008,151
