motion_type,target_scope,cascade_scheme,adaptive_filter,objective_mode,data_split_mode,n_trials,n_repeats,best_repeat_idx,best_trial_idx,success,reason,train_aae_bpm,train_accuracy_pct,train_baseline_aae_bpm,train_baseline_accuracy_pct,train_num_windows,val_aae_bpm,val_accuracy_pct,val_baseline_aae_bpm,val_baseline_accuracy_pct,val_num_windows,test_aae_bpm,test_accuracy_pct,test_baseline_aae_bpm,test_baseline_accuracy_pct,test_num_windows,Fs_Target,TW,Kstop,max_order,M_base,C_scale,K_max,Spec_Penalty_Width,Spec_Penalty_Weight,smooth_win_len,hr_range_hz,slew_limit_bpm,slew_step_bpm,LMS_Mu_Base,LMS_Mu_Min,alpha_u,M2,rff_D,rff_sigma,rff_seed
tiaosheng,motion_only,ACC3,rff_lms,accuracy,split,1,1,0,0,True,,10.309478759765625,20.3125,14.503707885742188,20.3125,64,3.030368381076389,80.55555555555556,5.127224392361111,66.66666666666666,72,50.757254464285715,18.571428571428573,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,806155127
tiaosheng,motion_only,HF2,rff_lms,accuracy,split,1,1,0,0,True,,11.379501342773438,28.125,14.503707885742188,20.3125,64,3.091403537326389,79.16666666666666,5.127224392361111,66.66666666666666,72,46.535365513392854,18.571428571428573,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,4053635228
tiaosheng,motion_only,CF2,rff_lms,accuracy,split,1,1,0,0,True,,10.063430786132812,25.0,14.503707885742188,20.3125,64,3.060885959201389,80.55555555555556,5.127224392361111,66.66666666666666,72,54.487374441964285,18.571428571428573,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,2378512186
tiaosheng,motion_only,HF2_CF2,rff_lms,accuracy,split,1,1,0,0,True,,11.379501342773438,28.125,14.503707885742188,20.3125,64,3.091403537326389,79.16666666666666,5.127224392361111,66.66666666666666,72,48.97328404017857,18.571428571428573,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,2066039262
tiaosheng,motion_only,CF2_HF2,rff_lms,accuracy,split,1,1,0,0,True,,11.379501342773438,28.125,14.503707885742188,20.3125,64,3.091403537326389,79.16666666666666,5.127224392361111,66.66666666666666,72,46.315638950892854,18.571428571428573,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,2093963140
tiaosheng,motion_only,ACC3_HF2,rff_lms,accuracy,split,1,1,0,0,True,,10.292312622070312,20.3125,14.503707885742188,20.3125,64,3.0100233289930554,80.55555555555556,5.127224392361111,66.66666666666666,72,50.77294921875,18.571428571428573,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,1280243397
tiaosheng,motion_only,HF2_ACC3,rff_lms,accuracy,split,1,1,0,0,True,,10.303756713867188,20.3125,14.503707885742188,20.3125,64,3.0803087022569446,79.16666666666666,5.127224392361111,66.66666666666666,72,50.762486049107146,18.571428571428573,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,2743427172
tiaosheng,motion_recovery,ACC3,rff_lms,accuracy,split,1,1,0,0,True,,9.011926102311644,30.136986301369863,10.985498715753424,27.397260273972602,146,4.343115234375,62.66666666666667,5.391959635416667,57.333333333333336,150,44.0965341732202,21.192052980132452,44.25849156663907,23.841059602649008,151,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,3637250389
tiaosheng,motion_recovery,HF2,rff_lms,accuracy,split,1,1,0,0,True,,9.432807817851028,31.506849315068493,10.985498715753424,27.397260273972602,146,4.262692057291667,64.0,5.391959635416667,57.333333333333336,150,29.57275390625,22.516556291390728,44.25849156663907,23.841059602649008,151,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,1737357511
tiaosheng,motion_recovery,CF2,rff_lms,accuracy,split,1,1,0,0,True,,8.856411868578768,30.82191780821918,10.985498715753424,27.397260273972602,146,4.171201171875,64.0,5.391959635416667,57.333333333333336,150,44.273576546978475,22.516556291390728,44.25849156663907,23.841059602649008,151,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,3548491312
tiaosheng,motion_recovery,HF2_CF2,rff_lms,accuracy,split,1,1,0,0,True,,9.475448817422945,31.506849315068493,10.985498715753424,27.397260273972602,146,4.255367838541667,64.0,5.391959635416667,57.333333333333336,150,30.909060042425498,22.516556291390728,44.25849156663907,23.841059602649008,151,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.006,1e-06,0.1,3,50,0.1,4109942868
