motion_type,target_scope,cascade_scheme,adaptive_filter,repeat_idx,trial_idx,objective_value,aae_bpm,accuracy_pct,best_so_far,success,reason,rff_seed,params
tiaosheng,motion_only,HF2_CF2,volterra,0,0,84.72222222222223,66.27562798394098,15.277777777777779,84.72222222222223,True,,0,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.008, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'volterra', 'objective_mode': 'accuracy', 'alpha_u': 0.01, 'M2': 2, 'rff_D': 100, 'rff_sigma': 1.0, 'rff_seed': 0}"
tiaosheng,motion_only,HF2_CF2,rff_lms,0,0,20.833333333333343,3.091403537326389,79.16666666666666,20.833333333333343,True,,2066039262,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.006, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'rff_lms', 'objective_mode': 'accuracy', 'alpha_u': 0.1, 'M2': 3, 'rff_D': 50, 'rff_sigma': 0.1, 'rff_seed': 2066039262}"
tiaosheng,motion_only,CF2_HF2,lms,0,0,41.666666666666664,26.444322374131943,58.333333333333336,41.666666666666664,True,,0,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.008, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'lms', 'objective_mode': 'accuracy', 'alpha_u': 0.1, 'M2': 3, 'rff_D': 100, 'rff_sigma': 1.0, 'rff_seed': 0}"
tiaosheng,motion_only,CF2_HF2,volterra,0,0,90.27777777777777,70.29003228081598,9.722222222222223,90.27777777777777,True,,0,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.008, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'volterra', 'objective_mode': 'accuracy', 'alpha_u': 0.01, 'M2': 2, 'rff_D': 100, 'rff_sigma': 1.0, 'rff_seed': 0}"
tiaosheng,motion_only,CF2_HF2,rff_lms,0,0,20.833333333333343,3.091403537326389,79.16666666666666,20.833333333333343,True,,2093963140,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.006, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'rff_lms', 'objective_mode': 'accuracy', 'alpha_u': 0.1, 'M2': 3, 'rff_D': 50, 'rff_sigma': 0.1, 'rff_seed': 2093963140}"
tiaosheng,motion_only,ACC3_HF2,lms,0,0,40.27777777777778,10.779127332899305,59.72222222222222,40.27777777777778,True,,0,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.008, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'lms', 'objective_mode': 'accuracy', 'alpha_u': 0.1, 'M2': 3, 'rff_D': 100, 'rff_sigma': 1.0, 'rff_seed': 0}"
tiaosheng,motion_only,ACC3_HF2,volterra,0,0,90.27777777777777,67.18995496961806,9.722222222222223,90.27777777777777,True,,0,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.008, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'volterra', 'objective_mode': 'accuracy', 'alpha_u': 0.01, 'M2': 2, 'rff_D': 100, 'rff_sigma': 1.0, 'rff_seed': 0}"
tiaosheng,motion_only,ACC3_HF2,rff_lms,0,0,19.444444444444443,3.0100233289930554,80.55555555555556,19.444444444444443,True,,1280243397,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.006, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'rff_lms', 'objective_mode': 'accuracy', 'alpha_u': 0.1, 'M2': 3, 'rff_D': 50, 'rff_sigma': 0.1, 'rff_seed': 1280243397}"
tiaosheng,motion_only,HF2_ACC3,lms,0,0,41.666666666666664,8.431816948784721,58.333333333333336,41.666666666666664,True,,0,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.008, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'lms', 'objective_mode': 'accuracy', 'alpha_u': 0.1, 'M2': 3, 'rff_D': 100, 'rff_sigma': 1.0, 'rff_seed': 0}"
tiaosheng,motion_only,HF2_ACC3,volterra,0,0,90.27777777777777,67.75582546657986,9.722222222222223,90.27777777777777,True,,0,"{'Fs_Target': 50, 'TW': 10, 'Kstop': 0.5, 'max_order': 16, 'M_base': 1, 'C_scale': 0.6, 'K_max': 8, 'Spec_Penalty_Width': 0.3, 'Spec_Penalty_Weight': 0.2, 'smooth_win_len': 7, 'hr_range_hz': 0.25, 'slew_limit_bpm': 15, 'slew_step_bpm': 9, 'LMS_Mu_Base': 0.008, 'LMS_Mu_Min': 1e-06, 'adaptive_filter': 'volterra', 'objective_mode': 'accuracy', 'alpha_u': 0.01, 'M2': 2, 'rff_D': 100, 'rff_sigma': 1.0, 'rff_seed': 0}"
